TC-3-I-AGP;;"C2.3 ""Spécifier, concevoir et modéliser des algorithmes et des programmes informatiques""";C2;
;capacités;Concevoir un algorithme à partir d'un problème;;
;capacités;Maîtriser la récursivité;;
;capacités;Choisir une structure de donnée pour implémenter un algorithme;;
;capacités;Maîtriser le mécanisme d'indirection (pointeurs en C);;
;capacités;Concevoir, réaliser, déverminer, optimiser un programme en C pour résoudre un problème.;;
;capacités;Savoir utiliser les outils de compilation et déverminage: gcc, gdb, make, valgrind.-;;
;capacités;Savoir utiliser les outils de méta-compilation sur des exemple simple: lex, yacc.;;
;connaissance;Notions d'algorithme, de complexité;;
;connaissance;Liste chainée, tableau, arbre;;
;connaissance;Le Langage C;;
;connaissance;Base de l'exécutif: chaîne de compilation, exécution d'un programme, pile d'exécution;;
;connaissance;Connaitre les bases des grammaire et de la compilation des langages de programmation;;
;;"C2.7 ""Mettre en œuvre, réaliser, développer, déployer des programmes infomatiques""";C2;
;;"C1.5 ""Identifier, formuler et résoudre un problème d'ingénierie complexe""";C1;
;;"C1.3 ""Mettre en œuvre une démarche scientifique""";M1;
;;"C3.2 ""Travailler, apprendre, évoluer de manière autonome"" ";M1;
;;"C3.3 ""Interagir avec les autres, travailler en équipe""";M1;
TC-3-I-SDE;;"C1.5 ""Identifier, formuler et résoudre un problème d'ingénierie complexe""";C1;
;;"C2.3 ""Spécifier, concevoir et modéliser des algorithmes et des programmes informatiques""";C1;
;capacité;Analyser, concevoir et implanter des programmes multi-processus;;
;connaissance;Mise en oeuvre de tubes, signaux, files de messages, mémoires partagées, sémaphore.;;
;connaissance;Conception et modélisation avec Lacätre.;;
;connaissance;Implantation en langage C sous Linux.;;
;connaissance;Limites théoriques et pratiques des outils de sécurité;;
;;"C2.7 ""Mettre en œuvre, réaliser, développer, déployer des programmes infomatiques""";C1;
;capacité;Concevoir et implanter des programmes pour systèmes limités en ressources;;
;connaissance;Gestion de la mémoire : adresse logique et physique, mémoire virtuelle.;;
;connaissance;Gestion des entrées/sorties.;;
;connaissance;Système de gestion de fichiers.;;
;;"C3.3 ""Interagir avec les autres, travailler en équipe""";M2;
TC-3-I-PIT;;"C2.3 ""Spécifier, concevoir et modéliser des algorithmes et des programmes informatiques""";C1;
;capacités;????;;
;connaissance;????;;
;;"C2.7 ""Mettre en œuvre, réaliser, développer, déployer des programmes infomatiques""";C1;
TC-3-R-PBS;;"C1.3 ""Mettre en œuvre une démarche scientifique""";C3;
;Capacité;Modéliser une expérience aléatoire : univers, évènement, variables aléatoire, signal aléatoire;;
;Capacité;Exploiter la modélisation statistique d'un problème pour le résoudre en calculant une probablité, une espérance, la dsp d'un signal aléatoire, etc ;;
;Connaissance;Univers, expérience, évènement. Notion de probabilité (fréquentielle, axiomatique). Prob. élémentaires et conditionnelles, indépendance, théorème de Bayes;;
;Connaissance;Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.;;
;Connaissance;Théorème de Bienaymé-Tchebycheff, Théorème de Bernouilli, Théorème central limite;;
;Connaissance;Couples de variables aléatoires : loi conjointe, lois marginales, conditionnelles. Covariance, coef de corrélation. Fonction d'un couple de variables aléatoires;;
;Connaissance;Processus stochastique, stationnarité et ergodisme, dsp d'un signal aléatoire (théorème de Wiener Khintchine), filtrage d'un signal aléatoire.;;
;Connaissance;Variable aléatoire, loi de probabilité, loi normale, Théorème Central Limite, Modèle;;
;;"C1.5 ""Identifier, formuler et résoudre un problème d'ingénierie complexe""";C1;
;Capacité;Modéliser une expérience aléatoire : univers, évènement, variables aléatoire, signal aléatoire;;
;Connaissance;Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.;;
;Connaissance;Théorème de Bienaymé-Tchebycheff, Théorème de Bernouilli, Théorème central limite;;
;Connaissance;Couples de variables aléatoires : loi conjointe, lois marginales, conditionnelles. Covariance, coef de corrélation. Fonction d'un couple de variables aléatoires;;
;Connaissance;Loi d'erlang, canal de rayleigh, détection;;
;;"C1.2 ""Développer une démarche expérimentale""";M1;
;Connaissance;Principales lois de probabilité des variables aléatoires discrètes et continues. Espérance, variance, fonction d'une variable aléatoire.;;
;Connaissance;Matlab, histogramme, caal de rayleigh;;
TC-3-SIS;;"C2.1 ""spécifier, concevoir et modéliser des systèmes de transmission et de traitement des signaux/images/données""";C2;
;Capacité;Caractériser en temps et en fréquence un « signal déterministe » ;;
;Capacité;Caractériser en temps et en fréquence un « Système Linéaire Temporellement Invariant (SLTI)»;;
;Capacité;Choisir la représentation la plus adaptée au signal à étudier et analyser ce signal en temps et en fréquence;;
;Capacité;Calculer la sortie d'un SLTI par l'opération de convolution;;
;Capacité;Déterminer la sortie d'un système régi par une équation différentielle à coefficients constants, initialement au repos ou non;;
;Capacité;Déterminer la sortie d'un système régi par une équation aux différences à coefficients constants, initialement au repos ou non;;
;Capacité;Calculer la sortie d'un SLTI à l'aide des Transformées (Fourier, Laplace, Z);;
;Capacité;Echantillonner un signal ;;
;Connaissance;Représentation des signaux déterministes;;
;Connaissance;Signaux particuliers: Dirac, Peigne de Dirac, échelon, sinusoïde, exponentielle complexe;;
;Connaissance;Transformation de la variable changement d'échelle, inversion temporelle;;
;Connaissance;Corrélation entre les signaux, autocorrélation, intercorrélation;;
;Connaissance;Stabilité, causalité, invariance temporelle;;
;Connaissance;Réponse impulsionnelle, réponse indicielle;;
;Connaissance;Opération de convolution;;
;Connaissance;Séries de Fourier, ;;
