100%;;;;;;;COMPETENCES EN SCIENCES POUR L’INGÉNIEUR;;;;;COMPETENCES SPECIFIQUES DE LA SPECIALITE;;;;;;;;;COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ;;;;;;;;;
;;;;;;;"C1.1 ""Résoudre les questions posées par un problème scientifique en étant conscient des limites""";"C1.2 ""Développer une démarche expérimentale""";"C1.3 ""Mettre en œuvre une démarche scientifique""";"C1.4 ""Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies""";"C1.5 ""Identifier, formuler et résoudre un problème d'ingénierie complexe""";"C2.1 ""Spécifier, concevoir et modéliser des systèmes de transmission et de traitement des signaux/images/données""";"C2.2 ""Spécifier, concevoir et modéliser des réseaux de communication et des protocoles""";"C2.3 ""Spécifier, concevoir et modéliser des algorithmes et des programmes informatiques""";"C2.4 ""Spécifier et dimensionner des systèmes numériques en réponse au besoin clients""";"C2.5 ""Mettre en oeuvre, réaliser, développer, déployer des systèmes de transmission et de traitement des signaux/images/données""";"C2.6 ""Mettre en œuvre, réaliser, développer, déployer  des réseaux et des protocoles""";"C2.7 ""Mettre en œuvre, réaliser, développer, déployer des programmes informatiques""";"C2.8 ""Opérer, analyser, améliorer des systèmes numériques""";"C2.9 ""Conduire des projets dans le domaine du numérique""";"C3.1 ""Se connaître, se gérer physiquement et mentalement""";"C3.2 ""Travailler, apprendre, évoluer de manière autonome"" ";"C3.3 ""Interagir avec les autres, travailler en équipe""";"C3.4 ""Faire preuve de créativité, innover, entreprendre""";"C3.5 ""Agir de manière responsable dans un monde complexe"" ";"C3.6 ""Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive""";"C3.7 ""Travailler dans un contexte international et interculturel""";100%;;
3TC S5;PSA;Algorithmes et Programmation (TRI);AGP;5;64;TRI;;;M1;;C1;;;C2;;;;C2;;;;M1;M1;;;;;o;;
;;Systèmes d'Exploitation;SDE;4;53;IBL;;;;;C1;;;C1;;;;C1;;;;;M2;;;;;o;;
;;Passeport Informatique (JDI);PIT;1;24;JDI;;;;;;;;C1;;;;C1;;;;;;;;;;o;;
;RES;Fondamentaux des Résaux (FVA);NET;5;52;FVA;;M2;;;C2;;C3;C1;;;C2;;;;;;M1;;;;;o;;
;;Probabilités et Statistiques;PBS;2;35;SPE;;M1;C3;;C1;;;;;;;;;;;;;;;;;o;;
;SCM1;Signaux et systèmes;SIS;2;33;ATI;M1;;M1;;M1;C2;;;;C1;;;;;M1;M2;;;;;;o;;
;;Codages et Modulations Numériques;CMN;2;34;KID;M1;;M1;;;C1;;;;C2;;;C2;;;M1;M1;;;;;o;;
;;Antennes, Canal et Modulation;ACM;2;24;CGO;M1;;M1;;M1;C2;;;;;;;;;;M1;M1;;;;;o;;
;HUMA;Culture Telecom et Communication;CTC;2;30;CMU;M1;;M1;;M1;;;;;;;;;;;M2;M2;;;C2;;o;;
;;Anglais;ANG;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Deuxième langue;DLG;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Sport;SPO;1;21;VMU;;;;;;;;;;;;;;;C3;C3;C1;C2;C2;M1;M1;o;;
3TC S6;SCM2;Traitement du Signal et Architectures (HBC);TSA;3;44;KID;;M2;M1;M1;M1;C2;;;;C2;;;;;;M1;M2;;;;;o;;
;;TPs Systèmes de Communication ;TPS;3;46;CMU;M1;M2;M1;;M1;C2;;;;C2;;;;;M1;;M2;;;;;o;;
;LWR;Ecosystème des Langages de Programmation;ELP;4;44;TRO;;;;M1;;;;C2;;;;C2;;;;;;;;;;o;;
;;Programmation, Réseau et Système (RST);PRS;3;42;RST;;C2;;;M1;;;;;;C3;C3;;;;M2;M2;;;;;o;;
;;WEB dynamique (WEB);WEB;3;48;FLM;;M1;;C2;C2;;;C2;;;M2;C2;;C1;;M1;C1;;;;;o;;
;PRI;Projet technique d'initiation à la recherche  (OSI);PTIR;3;160;OSI;C1;C1;C3;M1;M1;C1;;C1;;;;;;;C1;C2;C3;C1;M1;M1;;o;;
;;Analyse et synthèse de documnents scientifiques (IBL);ASDS;2;16;IBL;M3;M2;;M3;;;;;;;;;;;C2;C3;;;;;;o;;
;;Découverte de la recherche (OSI);DRE;1;2;OSI;;;;C1;;;;;;;;;;;;C1;;;;C2;;o;;
;;Gestion de projet (PRJ);PRJ;1;12;SFR;;;;;;;;;;;;;;C2;;;C2;;;M1;;o;;
;HUMA;Culture Telecom et Communication;CTC;2;30;CMU;M1;;M1;;M1;;;;;;;;;;;M2;M2;;;C2;;o;;
;;Anglais;ANG2;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Deuxième langue;DLG2;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Sport;SPO2;1;21;VMU;;;;;;;;;;;;;;;C3;C3;C1;C2;C2;M1;M1;o;;
4TC S7;S&I;Traitement de signaux numériques : parole et images (ATI);TIP;3;58;ATI;M2;M1;M2;C3;;C3;;;;C2;;;;;;M2;M2;;;;;o;;
;;Communications Numériques Avancéees;CNA;3;56;JMG;M1;;M1;C2;M1;C3;;;;C2;;;;;;M2;M2;;;;;o;;
;;Projet Systèmes de communication;PSC;3;32;CMU;;C3;;;;C3;;;;;;;;C2;;M3;C3;;;;;o;;
;IAV;Modélisation et Génie Logiciel;MGL;2;32;SFR;;;;;;;;M3;;;;C2;;C3;;;;;;;;o;;
;;Systèmes Distribués;SYD;2;32;SFR;;;C1;;;;C3;M3;;;M2;M3;;;;;;;;;;o;;
;ARSP;Architectures et Services Réseaux (ISO);NAS;3;44;ISO;;;;;;;C3;;;M1;C3;;;;;;M2;;;;;o;;
;;Protocoles Réseaux (IS0);NRP;2;42;ISO;;;;;;;C2;;;M1;C2;;;;;;M1;;;;;o;;
;;Performances de Réseaux (WBE);PRF;3;50;WBE;;;C1;;C1;C1;C3;M1;C2;;;;C1;;;M1;M1;;;;;o;;
;HUMA;module GESPER (VMU);GES;3;40;VMU;;;;;;;;;;;;;;;M1;M1;M1;C2;C3;M2;;o;;
;;Recherche stage et métier;RSM;1;18;VMU;;;;;;;;;;;;;;;M2;;;;;C1;;o;;
;;Anglais;ANG3;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Deuxième langue;DLG3;2;26;VMU;;;;;;;;;;;;;;;;;;;;;C3;o;;
;;Sport;SPO3;1;21;VMU;;;;;;;;;;;;;;;C3;C3;C1;C2;C2;M1;M1;o;;
4TC S8;DEV;Développement et intégration d'applications distribuées;DIA;2;32;DRE;;;;;M1;;;C3;;;;C3;C2;;;;;;;;;o;;
;;Sécurité des Systèmes Informatiques et des Réseaux;CSC;2;32;FLE;;;;;;;;;;;;C2;C2;;;M2;;;C1;;;o;;
;RA;Architectures des Réseaux Mobiles;ARM;3;42;RST;M1;;;M1;;;C2;;;;C2;;C3;;;;;M1;M1;;;o;;
;;Boucle Locale Filaire;BLF;1;26;SPE;;;;C2;;;;;;;C2;;;;;;;;;;;o;;
;;Réseau d'accès Radio;RAN;2;32;JMG;;M2;;;M1;C3;;;;C3;;;C2;;;M1;M2;;;;;o;;
;PAO;Projet Appel d'Offre (OGA);PAO;3;44;OGA;;;;M2;M1;;C3;;C2;;C3;;;C2;;M1;M2;M1;M1;;M1;o;;
;;Marketing et Négociation Commerciale;COM;2;22;VMU;M1;;M1;;M1;;;;;;;;;;;M2;M2;C2;;;;o;;
;;Démarche qualité;SQE;1;12;VMU;M1;;M1;;M1;;;;;;;;;;;M2;M3;;C2;;;o;;
;;Sport;SPO4;1;21;VMU;;;;;;;;;;;;;;;C3;C3;C1;C2;C2;M1;M1;o;;
;STA;Stage en entreprise;STA;14;706;ISO;;;;;;;;;;;;;;;M1;C2;C2;C2;C2;C2;;o;;
5TC S9;SHES;Sport;SPO5;1;20;VMU;;;;;;;;;;;;;;;C3;C3;C1;C2;C2;M1;M1;o;;
;;Sciences humaines et économiques;SHE;2;38;VMU;M1;;M1;;M1;;;;;;;;;;;M2;M2;;;C2;;o;;
;;Projet Personnel en Humanité;PPH;1;50;VMU;;;;M*;;;;;;;;;;;M2;C3;M2;M*;C1;M*;M*;o;;
;OPT;;CVDI;2;32;OGA;;;;M2;M1;;C3;;C2;;C3;;;M2;;;;M1;;;;o;;
;;;RES;2;32;ISO;;;;;M1;;C3;;;;C3;;;;;M2;M3;M1;;;;o;;
;;;SAT;2;32;CGO;M2;;;;M2;C3;C3;;;;;;;;;;;;;;;o;;
;;;5G;2;32;JMG;;;;M2;;C3;C2;;;C3;C2;;;;;M2;;;;;;o;;
