Chimie,,,,Compétences Ecoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Titre EC

Niveaux :
- 1 : sensibilisation
- 2 : appropriation
- 3 : maîtrise",EC (2016),ECTS,UE,A1. Analyser un système (réél ou virtuel),A2. Exploiter un modèle d'un système réél ou virtuel,A3. Mettre en œuvre une démarche expérimentale,A4. Concevoir un système répondant à un cahier des charges,A5. Traiter des données,A6 - Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,C1. Appliquer une démarche scientifique (hypothético-déductive) pour traduire et résoudre une problématique biologique,"C2. Concevoir, adapter et optimiser des plans d'expériences en Biosciences","C3. Collecter, stocker et organiser des données biologiques obtenues in vivo, in vitro et in silico y compris massive (big data)",C4. Mettre en œuvre des outils d'analyse pour la biologie à haut débit,"C5. Quantifier, caractériser structurellement et purifier des biomolécules",C6. Mesurer et évaluer l'impact de nouveaux produits de santé ou de méthodes diagnostiques,"C7. Manipuler des cultures cellulaires, des microorganismes ou des animaux de laboratoire",C8. Utiliser les principales techniques d'exploration des fonctions biologiques,C9. Choisir et mettre en œuvre des outils statistiques adaptés aux et à une problématique biologique,C10. Apprécier les limites de validité d'un modèle et identifier les sources de variabilité et d'incertitudes,C11. Modéliser et interpréter des données biologiques pour comprendre les processus sous-jacents,C12. Automatiser le traitement et l'extraction de connaissances à partir de données biologiques.,C13. Comprendre le référentiel d'assurance qualité et de la réglementation dans le domaine des biotechnologies,C14. Développer et valider des procédés de fabrication en biotechnologies,C15. Contribuer à des études environnementales en y apportant la composante biologique et évolutive,"B1. Se connaître, se gérer physiquement et mentalement","B2. Travailler, apprendre, évoluer de manière autonome","B3. Intéragir avec les autres, travailler en équipe","B4. Faire preuve de créativité, innover, entreprendre",B5. Agir de manière responsable dans un monde complexe,"B6. Se situer, travailler, évoluer dans une entreprise, une organisation socioproductive",B7. Travailler dans un contexte international et interculturel,"Capacités 
(être capable de...)","Connaissances 
(savoir, connaître...)",Fiche ECTS actuelle,Fiche ECTS future
Chimie Analytique & Electroanalytique,BS-3-BB.CHIANA.S1,2,BS-BB-3-CHIM_S1,1,2,2,,,,1,1,,,3,,,,,1,2,,,,,,M,,,,,,"Concevoir/ Identifier l'état d'équilibre d'un système simple en fonction des propriétés acido-basiques, complexantes ou oxydo-réductrices des électrolytes en solution (1,2,10,19) ; Etudier un système d'équilibres simultanés en solution dans des conditions réactionnelles particulières (pH, agent complexant, agent précipitant) (1,7,14,15,24) ; Analyser/Modéliser une courbe de dosage par réaction acido-basique, de complexation, d'oxydo-réduction ou de précipitation (1,3,15); Choisir les méthodes physiques et chimiques analytiques adaptées à la quantification d'espèces en solution (3,10,14,19)","Etablir un diagramme de prédominance en fonction du pH, d'un ligand ou d'un potentiel redox, Echelles de pKa, structure et acido-basicité, acides aminés, cellules électrochimiques (1,2,10,19) ; Mettre en équation et résoudre un système basé sur plusieurs équilibres chimiques simultanés (1,7,14,15) ; Citer les éléments de base d'un montage de chimie analytique ou électroanalytique, choisir un moyen de détection approprié pour la fin d'un titrage (3, 10, 19).","Compétences principales visées et aptitudes spécifiques associées
 1- Concevoir/ Identifier l'état d'équilibre d'un système simple en fonction des propriétés
  acido-basiques, complexantes ou oxydo-réductrices des électrolytes en solution
 1.1 Etablir un diagramme de prédominance en fonction du pH, d'un ligand 
 ou d'un potentiel redox
 1.2 Calculer le pH d'une solution connaissant les pKa
 1.3 Proposer un protocole pour préparer une solution de pH donné
 2- Etudier un système d'équilibres simultanés dans des conditions 
 réactionnelles particulières (pH, agent complexant, agent précipitant)
 2.1 Mettre en équation un système basé sur plusieurs équilibres chimiques simultanés
 2.2 Identifier les espèces ou des équilibres prédominants à l'équilibre du système
 2.3 Faire des hypothèses simplificatrices de la résolution de calcul
 2.4 Vérifier la validité d'un calcul
 3- Analyser/Modéliser une courbe de dosage 
 3.1 Déterminer la composition qualitative et quantitative d'une solution à l'équilibre
 3.2 Répondre à une question d'analyse de graphe
 4- Choisir les méthodes physiques et chimiques analytiques adaptées 
 4.1 Citer les éléments de base d'un montage de chimie analytique ou électroanalytique
 4.2 Choisir un moyen de détection approprié pour la fin d'un titrage","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés
A1. Analyser un système (réél ou virtuel) (niveau 1)
- Concevoir/ Identifier l'état d'équilibre d'un système simple en fonction des propriétés acido-basiques, complexantes ou oxydo-réductrices des électrolytes en solution
- Etablir un diagramme de prédominance en fonction du pH, d'un ligand ou d'un potentiel redox
- Calculer le pH d'une solution connaissant les pKa
A2. Exploiter un modèle d'un système réél ou virtuel (niveau 2)
- Etudier un système d'équilibres simultanés en solution dans des conditions réactionnelles particulières (pH, agent complexant, agent précipitant)
A3. Mettre en œuvre une démarche expérimentale (niveau 2)
- Analyser/Modéliser une courbe de dosage  par réaction acido-basique, de complexation, d'oxydo-réduction ou de précipitation
C1. Appliquer une démarche scientifique (hypothético-déductive) pour traduire et résoudre une problématique biologique (niveau 1)
- Faire des hypothèses simplificatrices de la résolution de calcul
C2. Concevoir, adapter et optimiser des plans d'expériences en Biosciences (niveau 1)
- Proposer un protocole pour préparer une solution de pH donné
- Citer les éléments de base d'un montage de chimie analytique ou électroanalytique
C5. Quantifier, caractériser structurellement et purifier des biomolécules (niveau 3)
- Déterminer la composition qualitative et quantitative d'une solution à l'équilibre
- Choisir les méthodes physiques et chimiques analytiques adaptées à la quantification d'espèces en solution
- Choisir un moyen de détection approprié pour la fin d'un titrage
C10. Apprécier les limites de validité d'un modèle et identifier les sources de variabilité et d'incertitudes (niveau 1)
- Vérifier la validité d'un calcul
- Répondre à une question d'analyse de graphe
C11. Modéliser et interpréter des données biologiques pour comprendre les processus sous-jacents (niveau 2)
- Etudier un système d'équilibres simultanés dans des conditions réactionnelles particulières (pH, agent complexant, agent précipitant)
- Mettre en équation un système basé sur plusieurs équilibres chimiques simultanés
- Identifier les espèces ou des équilibres prédominants à l'équilibre du système
B2. Travailler, apprendre, évoluer de manière autonome (niveau M)

Les connaissances associées à ce cours sont :
Etablir un diagramme de prédominance en fonction du pH, d'un ligand ou d'un potentiel redox
Echelles de pKa, structure et acido-basicité, acides aminés, cellules électrochimiques
Mettre en équation et résoudre un système basé sur plusieurs équilibres chimiques simultanés
Citer les éléments de base d'un montage de chimie analytique ou électroanalytique
choisir un moyen de détection approprié pour la fin d'un titrage
"
Structure et Manipulation des Molécules Organiques,BS-3-BB.STRMOL.S1,6,BS-BB-3-CHIM_S2,1,2,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,"Identifier l'environnement électronique de chaque atome(1), Expliquer chimiquement la stabilité des molécules (1,, proposer une structure moléculaire cohérente (1,2), Utiliser la classification périodique comme outil dans la construction et la compréhension des édifices moléculaires (1,2); Exploiter les informations principales des édifices moléculaires (1,2,19), Etudier l'interaction d'une molécule avec son environnement (10, 19), Prévoir l'évolution de certaines propriétés physico-chimiques en fonction des effets électroniques (1,2,19); Développer des compétences expérimentales (10, 19, 23, 24, 25)","Savoir dessiner en structure tridimensionnelle les molécules et maîtriser les différentes représentations dans l'espace (2), Connaître la nomenclature d""une molécule simple (1,2), Savoir identifier les espèces / site de réaction potentielle (1,2, 19), Connaître les techniques expérimentales classiques et les montages associés (19), Respecter les bonnes pratiques de laboratoire (27)","Compétences principales visées et aptitudes spécifiques associées
1- Identifier l'environnement électronique de chaque atome
1.1 Expliquer chimiquement la stabilité des molécules
1.2 Proposer une structure moléculaire cohérente
1.3 Utiliser la classification périodique comme outil dans la construction et la compréhension des édifices moléculaires
2- Exploiter les informations principales des édifices moléculaires
2.1 Dessiner en structure tridimensionnelle les molécules et maîtriser les différentes représentations dans l'espace
2.2 Etudier l'interaction d'une molécule avec son environnement
2.3 Prévoir l'évolution de certaines propriétés physico-chimiques en fonction des effets électroniques
2.4 Déterminer la nomenclature d'une molécule simple
2.5 Identifier les espèces / sites de réaction potentielle
3- Développer des compétences expérimentales
3.1 Citer les différentes techniques expérimentales et les montages associés
3.2 Utiliser une technique d'extraction et purification d'une molécule d'origine naturelle
3.3 Respecter les bonnes pratiques de laboratoire et travailler en sécurité","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés
A1. Analyser un système (réél ou virtuel) (niveau 2)
- Identifier l'environnement électronique de chaque atome
- Expliquer chimiquement la stabilité des molécules
- Proposer une structure moléculaire cohérente
- Utiliser la classification périodique comme outil dans la construction et la compréhension des édifices moléculaires
A2. Exploiter un modèle d'un système réél ou virtuel (niveau 2)
- Exploiter les informations principales des édifices moléculaires
- Etudier l'interaction d'une molécule avec son environnement
C2. Concevoir, adapter et optimiser des plans d'expériences en Biosciences (niveau 1)
- Développer des compétences expérimentales
- Citer les différentes techniques expérimentales et les montages associés
C5. Quantifier, caractériser structurellement et purifier des biomolécules (niveau 2)
- Dessiner en structure tridimensionnelle les molécules et maîtriser les différentes représentations dans l'espace
- Prévoir l'évolution de certaines propriétés physico-chimiques en fonction des effets électroniques
- Déterminer la nomenclature d'une molécule simple
- Identifier les espèces / sites de réaction potentielle
- Utiliser une technique d'extraction et purification d'une molécule d'origine naturelle
C13. Comprendre le référentiel d'assurance qualité et de la réglementation dans le domaine des biotechnologies (niveau 1)
- Respecter les bonnes pratiques de laboratoire et travailler en sécurité

Les connaissances associées à l'EC cours sont :
Savoir dessiner en structure tridimensionnelle les molécules et maîtriser les différentes représentations dans l'espace 
Connaître la nomenclature d""une molécule simple 
Savoir identifier les espèces / site de réaction potentielle
Connaître les techniques expérimentales classiques et les montages associés
Respecter les bonnes pratiques de laboratoire"
Chimie Physique et Biophysique,BS-3-BB.CHIPHY.S1,4,BS-BB-3-CHIM_S3,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,Analyser des données spectrométriques et déduire la structure de composés. Etre capable d'appliquer les principes de base en chimie à la compréhension des mécanismes biochimiques,"chimie physique, Techniques spectrales et séparatives :  RMN, HPLC, UV, IR, masse, fluorimétrie","A l'issue de ce module l'étudiant devra avoir acquis une bonne compréhension des méthodes d'analyses des composés organiques. Il devra être capable d'exploiter des spectres simples  et être capable de dialoguer avec des spécialistes de chacun des domaines.
Les objectifs pédagogiques de ce module sont :
-Initiation à la chimie quantique
-Initiation à la spectroscopie infrarouge
-Initiation à la résonance magnétique nucléaire (RMN)
-Initiation à la spectroscopie UV-visible
-Initiation à la spectroscopie de fluorescence
-Initiation à la spectroscopie de masse
-Initiation à la modélisation moléculaire","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés
C5. Quantifier, caractériser structurellement et purifier des biomolécules (niveau 3)
- Analyser des données spectrométriques et déduire la structure de composés
C14. Développer et valider des procédés de fabrication en biotechnologies (niveau 1)
- Etre capable d'appliquer les principes de base en chimie à la compréhension des mécanismes biochimiques

Les connaissances associées à l'EC cours sont :
chimie physique, Techniques spectrales et séparatives :  RMN, HPLC, UV, IR, masse, fluorimétrie
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
