LV-SHS-EPS,,,,Compétences Ecoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Titre EC

Niveaux :
- 1 : sensibilisation
- 2 : appropriation
- 3 : maîtrise",EC (2016),ECTS,UE,A1. Analyser un système (réél ou virtuel),A2. Exploiter un modèle d'un système réél ou virtuel,A3. Mettre en œuvre une démarche expérimentale,A4. Concevoir un système répondant à un cahier des charges,A5. Traiter des données,A6 - Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,C1. Appliquer une démarche scientifique (hypothético-déductive) pour traduire et résoudre une problématique biologique,"C2. Concevoir, adapter et optimiser des plans d'expériences en Biosciences","C3. Collecter, stocker et organiser des données biologiques obtenues in vivo, in vitro et in silico y compris massive (big data)",C4. Mettre en œuvre des outils d'analyse pour la biologie à haut débit,"C5. Quantifier, caractériser structurellement et purifier des biomolécules",C6. Mesurer et évaluer l'impact de nouveaux produits de santé ou de méthodes diagnostiques,"C7. Manipuler des cultures cellulaires, des microorganismes ou des animaux de laboratoire",C8. Utiliser les principales techniques d'exploration des fonctions biologiques,C9. Choisir et mettre en œuvre des outils statistiques adaptés aux et à une problématique biologique,C10. Apprécier les limites de validité d'un modèle et identifier les sources de variabilité et d'incertitudes,C11. Modéliser et interpréter des données biologiques pour comprendre les processus sous-jacents,C12. Automatiser le traitement et l'extraction de connaissances à partir de données biologiques.,C13. Comprendre le référentiel d'assurance qualité et de la réglementation dans le domaine des biotechnologies,C14. Développer et valider des procédés de fabrication en biotechnologies,C15. Contribuer à des études environnementales en y apportant la composante biologique et évolutive,"B1. Se connaître, se gérer physiquement et mentalement","B2. Travailler, apprendre, évoluer de manière autonome","B3. Intéragir avec les autres, travailler en équipe","B4. Faire preuve de créativité, innover, entreprendre",B5. Agir de manière responsable dans un monde complexe,"B6. Se situer, travailler, évoluer dans une entreprise, une organisation socioproductive",B7. Travailler dans un contexte international et interculturel,"Capacités 
(être capable de...)","Connaissances 
(savoir, connaître...)",Fiche ECTS actuelle,Fiche ECTS future
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue Vivante I,HU-L-... à choix (LV1),2,BS-BB-3-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"Pour développer les compétences définies, des activités langagières variées (compréhension et production écrite, compréhension et production orale, interaction orale) et complexe (projets, simulations, etc.) sont mises en place. 

Les activités visent l'exposition linguistique optimale et l'utilisation de la langue en tant que véhicule culturel, outil de travail et de communication.

L'étudiant développera son autonomie à travers le travail en groupe et le travail personnel.","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
