,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE32,Intitulé de l'EC,EC1,Electronique et Capteurs 1 ,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre des circuits électroniques,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Appliquer les lois fondamentales de l'électricité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Représenter sous la forme de quadripôle,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Simuler des circuits électroniques,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mesurer des quantités électriques au sein des circuits électroniques,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Identifier la structure fonctionnelle d'une chaîne électronique,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre des filtres passifs,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser des filtres,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Représenter sous la forme d'un diagramme de Bode,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Types de filtre,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les transistors bipolaires,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Sélectionner, dimensionner et interfacer des montages à transistors pour répondre à un cahier des charges",,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Identifier les blocs constitutifs dans un circuit complexe à transistors et quantifier leurs performances ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Circuits fondamentaux à base de transistors,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Lois fondamentales de l'électricité, chaîne électronique, filtre passifs, transistor bipolaires",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,1,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre le transistor bipolaire,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etablir la loi de comportement d'un composant,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etablir le point de fonctionnemenbt d'un composant,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etablir un modèle linéarisé d'un composant,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctionnement d'une diode et du transitor bipolaire,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Polarisation et régimes dynamique et petits signaux,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Jonction PN, transistor, diode, régime dynamique, polarisation",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,1,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
