,,,,,,,,,,,,,,,,,,,,,,,,
,UE32,Intitulé de l'EC,ETEP1,Electrotechnique et Electronique de puissance_Niveau 1,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,36,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,
Sous compétence,,Mettre en œuvre les diodes et thyristors dans un redresseur ou onduleur non autonome monophasé ou triphasé,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre un redresseur fonctionnant en quatre quadrants,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Caractériser les séquences de fonctionnement en conduction continue ou discontinue,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Choisir les composants de puissance à mettre en œuvre dans un redresseur,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Topologie des montages redresseur à diode ou thyristor,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Perturbations harmoniques induites par un redresseur,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principales méthodes de commande d'un redresseur à thyristors.,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Redresseur, Pont de Graetz, Diode de Puissance, thyristor, commande par angle de phase",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,2,C,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les machines à courant continu : Machines à excitation shunt et série,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser le fonctionnement en régime permanent d'un système entrainé par une machine électrique,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les grandeurs électriques dans les  enroulements d'une machine,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Câbler, démarrer, contôler la vitesse d'une machine électrique",,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaitre  la constitution et le principe de fonctionnement,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Comprendre les interaction entre la machine tournante et le système mécanique associé dans les quatre quadrants,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaitre les schémas équivalents en régime permanent,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés," Machine à courant continu a excitation séparée, shunt, série, Schéma équivalent",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,3,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,3,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,3,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,2,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,2,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,2,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,M,,,,,,,,,,,
