,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,MA0,Mathématiques_Remise à niveau,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,2,C,,,,,,,,,,,,
Sous compétence,,"Identifier, formuler et résoudre un problème",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Utiliser et mettre en oeuvre outils mathématiques fondamentaux,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Maitriser les outils mathématiques fondamentaux liés au Génie Electrique,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Complexes, Etudes de fonctions",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Polynomes, Fonctions rationnelles, Développement limités",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Matrices, Résolution de systèmes",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Nombres complexes, Polynomes, Fractions rationnelles, Primitives, Equations différentielles,",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Développement limités, Espace vectoriels, Matrices, Diagonalisation",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,"Analyser un problème, le formaliser  et savoir le mettre en équation",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Maitriser des méthodes de calcul mathématique,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Complexes, Etudes de fonctions",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Polynomes, Fonctions rationnelles, Développement limités",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Matrices, Résolution de systèmes",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Nombres complexes, Polynomes, Fractions rationnelles, Primitives, Equations différentielles,",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Développement limités, Espace vectoriels, Matrices, Diagonalisation",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
