,,,,,,,,,,,,,
,UE38,Intitulé de l'EC,PE2,PERIODE EN ENTREPRISE 2,,,,,,,,,
,,Crédits,13,,,,,,,,,,
,,Nbe h.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 1,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,2,C
,Capacité,Comprendre le fonctionnement global de l'entreprise et du service d'accueil. Etre capable de la représenter à l'extérieur. Respecter les règles de fonctionnement du service. ,,,,,,,,,,,
,Capacité,Produire le travail dans le temps imparti. Savoir chercher l'information auprès des bonnes personnes.,,,,,,,,,,,
,Capacité,Comprendre la stratégie commerciale de l'entreprise. Participer à des rencontres avec les clients et/ou les fournisseurs,,,,,,,,,,,
,Connaissance,Organisation d'un milieu professionnel ,,,,,,,,,,,
,Mots-clés,"Organisation socio-professionnelle client, fournisseur, stratégie commerciale",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome",,,,,,,,,,2,C
,Capacité,Respecter les objectifs et le planning prévisionnel fixé par le projet.,,,,,,,,,,,
,Capacité,Formaliser avec le Maitre d'Apprentissageles objectifs avec des indicateurs de résultats et un planning prévisionnel pour son travail personnel,,,,,,,,,,,
,Connaissance,Gestion du temps,,,,,,,,,,,
,Connaissance,Démarche projet,,,,,,,,,,,
,Mots-clés,"Gestion de projet, planning",,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,C
,Capacité,Etre capable de communiquer avec des spécialistes et des non spécialistes et différents niveaux de hiérarchie. ,,,,,,,,,,,
,Capacité,Etre capable de reformuler son problème de manière claire à l'écrit comme à l'oral. Faire un reporting efficient.,,,,,,,,,,,
,Capacité,Faire preuve d'esprit d'équipe et de proactivité.,,,,,,,,,,,
,Connaissance,"communication, reporting",,,,,,,,,,,
,Connaissance,"Relations humaines, intégration dans équipe",,,,,,,,,,,
,Mots-clés,"reporting efficient, relations humaines",,,,,,,,,,,
,,,,,,,,,,,,,
COMPÉTENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 4,,Mettre en œuvre ses compétences scientifiques et technologiques dans le domaine de l'EEAIIT dans un cadre industriel et appliqué à des problématiques réelles en conduisant les étapes du cycle de conception ,,,,,,,,,,,C
,Capacité,Etre associé à une étape du cycle en V,,,,,,,,,,,
,Capacité,mettre en œuvre des composants et fonctions unitaires connus ou existants.,,,,,,,,,,,
,Capacité,Utiliser des outils de CAO et DAO élémentaires,,,,,,,,,,,
,Capacité,Réaliser un prototype,,,,,,,,,,,
,Capacité,Simuler les performances attendues,,,,,,,,,,,
,Connaissance,"Mise en œuvre de composants ou sous ensemble fonctionnels, Prototypage",,,,,,,,,,,
,Connaissance,"utilisation CAO / DAO, simulation performance.",,,,,,,,,,,
,Mots-clés,"cycle en V, CAO, DAO, Prototype, Simulation de performances",,,,,,,,,,,
