,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,EC3,Electronique et Capteurs 3,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,
, Sous compétence,Conception et mise en œuvre de circuits numériques à l'aide du langage VHDL,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Ecrire la description correspondant au fonctionnement d'un circuit avec les instructions VHDL appropriées,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en oeuvre les différentes étapes du flot de conception avec les outils appropriés pour implémenter des fonctions logiques simples ,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Ecrire les bancs de test pour la réalisation de simulations fonctionnelles ,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Tester et valider un circuit numérique à l'aide d'un analyseur logique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Electronique numérique (systèmes logiques),,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,,,,,,,,,,,,
, Sous compétence,Mettre en œuvre les propriétés physiques des matériaux pour l'optoélectronique,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner une fibre optique pour les applications en télécommunication,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner une diode laser ,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Capteurs couleurs CCD, CMOS",,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Physique du semiconducteur pour l'optoélectronique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Propagation de la lumière dans un milieu transparent,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Laser, semi-conducteurs, fibre optique, CMOS, CCD",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,
, Sous compétence,Conception de systèmes numériques à l'aide du langage VHDL,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir des systèmes numériques répondant aux besoins d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Configurer le FPGA pour qu'il communique avec des périphériques (CAN, CNA, etc)",,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Tester et valider un système numérique à l'aide d'un analyseur logique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Electronique analogique et numériques, capteurs",,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques, interfaçage",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sous compétence,Conception de systèmes d'interfaçage optoélectroniques,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner un système électronique basé sur des optocoupleurs,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctions de base de l'électronique analogique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Composants optoélectroniques,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"AOP, optocoupleurs, LED, capteur optique",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,3,M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,2,M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
