,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,IF2,Informatique 2,,,,,,,,,,,,,,,,,,,,,
,,Crédits,1,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable d'évaluer et comparer des approches mathématiques et algorithmiques,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de planifier et organiser une réalisation informatique en petit groupe,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de résoudre des problémes algorithmques pour l'interfacage et le traitement des signaux,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Algorithmes de gestion des entrées et sorties,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Algorithmie des éléments d’analyse numérique,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Algorithmie, analyse numérique, interfaçage des signaux",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable de développer des logiciels de haut niveaux (C++),,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de modéliser des logiciels de haut niveau (UML),,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de maîtriser les outils de développement (IDE) et de création d'interface (IHM),,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Langage C++,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,IDE et compilation,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Gestion des bibliothèques, IHM",,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Modélisation UML, langage de haut niveau (C/C++)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
