,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,24,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structure et mécanismes des routines d'interruption et des échanges d'information,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Architecture des microcontroleurs,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Programmation en C,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"LangageC,  routine d'interruption, architecture des microcontroleurs",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage C sur un microcontroleur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d’implémenter une application en langage C,,,,,,,,,,,,,,,,,,,,,,,,,,
