,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE46,Intitulé de l'EC,ETEP3,Electronique de puissance et Electrotechnique 3,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,55,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre des composants électroniques de puissance et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir calculer des caractéristiques liées à des performances sur les convertisseurs classiques et les associer à des valeurs de composants,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'analyser pour comprendre le fonctionnement d'un convertisseur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les particularités de l'utilisation des composants passifs pour la conversion statique d'énergie électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les notions de base sur les composants semi-conducteurs de puissance en commutation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les règles d'association des sources,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Composants électroniques passifs et actifs, semi-conducteurs de puissance",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre les propriétés magnétiques et semi-conductrices pour la conversion statique d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'analyser le fonctionnement d'un composant magnétique dans le cas de la conversion continu/continu,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de dimensionner des éléments composant une cellule de commutation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les règles de dimensionnement de circuit magnétique et électronique appliquées au convertisseur de puissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les notions de transfert d'énergie et leur implication sur le rendement du dispositif,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Dimensionnement, Circuit magnétique, cellule de commutation",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les architectures de conversion statique d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de proposer des pistes de solutions  pour les principaux problèmes rencontrés dans le domaine de la conversion statique d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'identifier les paramètres d'une machine alternative expérimentalement,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir analyser un système constitué d'une machine électrique et de son alimentation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les architectures des convertisseurs DC-DC classiques (Buck, Boost, Buck-Boost, Flyback, Forward, bras de pont, pont complet)",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les architectures des onduleurs classiques,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Sélection d'une architecture en fonction d'un cahier des charges défini,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"hacheurs, onduleurs, conversion statique d'énergie, architecture de convertisseur, analyse système",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,1,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre les étapes permettant le contrôle d'un convertisseur de puissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser des systèmes de variation de vitesse,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Sélection de bloc fonctionnel pour la commande d'actionneur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître certaines modulations pour la commande des onduleurs monophasés et triphasés,,,,,,,,,,,,,,,,,,,,,,,,,,
