,,,,,,,,,,,,,
,UE48,Intitulé de l'EC,PE4,PERIODE EN ENTREPRISE 4,,,,,,,,,
,,Crédits,14,,,,,,,,,,
,,Nbe h.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 1,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,2,C
,Capacité,Prendre en compte les enjeux économiques d'un projet.,,,,,,,,,,,
,Capacité,Participer à l'élaboration d'd'un budget et/ou au suivi des coûts.,,,,,,,,,,,
,Capacité,Contacter des clients ou des fournisseurs pour établir des devis ou répondre à des offres.,,,,,,,,,,,
,Connaissance,Enjeux économiques,,,,,,,,,,,
,Mots-clés,"Devis, budget, réponse appel d'offres",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome",,,,,,,,,,2,C
,Capacité,Respecter les objectifs et le planning prévisionnel fixé par le projet.,,,,,,,,,,,
,Capacité,Formaliser avec le Maitre d'Apprentissage les objectifs du projet avec des indicateurs de résultats et un planning prévisionnel pour son travail personnel,,,,,,,,,,,
,Capacité,Etre force de proposition de solution technique,,,,,,,,,,,
,Connaissance,Gestion du temps,,,,,,,,,,,
,Connaissance,Démarche projet,,,,,,,,,,,
,Mots-clés,"Gestion de projet, planning",,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,C
,Capacité,Etre capable de présenter un projet dans sa globalité à l'écrit ou devant un public,,,,,,,,,,,
,Capacité,Savoir chercher l'information auprès des bonnes personnes.,,,,,,,,,,,
,Connaissance,"communication, esprit de synthèse",,,,,,,,,,,
,Mots-clés,"esprit de synthèse, relations humaines",,,,,,,,,,,
,,,,,,,,,,,,,
COMPÉTENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 4,,Mettre en œuvre ses compétences scientifiques et technologiques dans le domaine de l'EEAIIT dans un cadre industriel et appliqué à des problématiques réelles en conduisant les étapes du cycle de conception ,,,,,,,,,,,C
,Capacité,Etre associé à plusieurs étapes du cycle en V,,,,,,,,,,,
,Capacité,mettre en œuvre des sous ensembles multi domaines de l'EEAIIT et/ou multiphysique.,,,,,,,,,,,
,Capacité,Outils de modélisations et simulation multidomaines,,,,,,,,,,,
,Capacité,Ecriture de spécifications fonctionnelles et techniques,,,,,,,,,,,
,Connaissance,"Mise en œuvre de composants ou sous ensemble fonctionnels, Prototypage",,,,,,,,,,,
,Connaissance,"utilisation CAO / DAO, simulation performance.",,,,,,,,,,,
,Mots-clés,"cycle en V, modélisation, spécification fonctionnelle",,,,,,,,,,,
,,,,,,,,,,,,,
