,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,UE34,Intitulé de l'EC,AU1,Automatique 1,,,,,,,,,
,UE34,Intitulé de l'EC,AU1,Automatique 1,,,,,,,,,,,,,,Crédits,5,,,,,,,,,,
,,Crédits,5,,,,,,,,,,,,,,,Nbe h.,72,,,,,,,,,,
,,Nbe h.,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OBJECTIFS:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,
Compétence 1,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,2,C,,Capacité,Etre capable de mettre en place un régulateur PI ou PID à partir d'un système électronique analogique ou numérique,,,,,,,,,,,
,Capacité,Etre capable de mettre en place un régulateur PI ou PID à partir d'un système électronique analogique ou numérique,,,,,,,,,,,,,,,Connaissance,"Connaître le comportement d'élements de base utilisés pour la commande (mécanique, électrique et pneumatique)",,,,,,,,,,,
,Connaissance,"Connaître le comportement d'éléments de base utilisés pour la commande (mécanique, électrique et pneumatique)",,,,,,,,,,,,,,,Connaissance,Appréhender le principe de la causalité dans l'étude des systèmes avec une approche énergétique (Bond-Graph),,,,,,,,,,,
,Connaissance,Appréhender le principe de la causalité dans l'étude des systèmes avec une approche énergétique (Bond-Graph),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Modélisation, Actionneurs, Pré-actionneurs, Bond-Graph, Régulateurs, PI, PID",,,,,,,,,,,,,,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Capacité,Etre capable de rédiger un GRAFCET et un cahier des charges sous forme d'analyse fonctionnelle (GEMMA),,,,,,,,,,,
