,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,AU3,Automatique 3,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,49,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,3,C,,,,,,,,,,,,,
,Sous compétence,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de des flux de production",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Appréhender la lecture et l'écriture d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser un système de production en vue de son analyse de performances et /ou son dimensionnement,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Analyser les propriétés du modèle liées au marquage initial : vivacité, bornage et réinitialisation",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser les performances d'un système et le dimensionner ,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Transférer ses connaissances à d'autres types de systèmes qui ne concernent pas la production ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître l'outil Réseau de Petri,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Méthodologie pour modéliser un système de Production via les réseaux de Petri,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Méthodologie pour analyser les perfromances et/ou le dimensionnement d'un système de production,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Réseau de Petri, modélisation, analyse de perfromances et dimensionnement",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,3,C,,,,,,,,,,,,,
,Sous compétence,Développer la communication dans un système automatisé,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Implémenter la commande d'équipements industriels communicant en Modbus/TCP,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Conception d'Interface Homme Machine accessible via le Web,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Développer la commande d’un système discret,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser la facette commande d'un système du point de vue fonctionnel,,,,,,,,,,,,,,,,,,,,,,,,,
