,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE52,Intitulé de l'EC,EC3,Electronique et Capteurs 3,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,UE52,Intitulé de l'EC,EC3,Electronique et Capteurs 3,,,,,,,,
,,Nbe h.,38,,,,,,,,,,,,,Crédits,2,,,,,,,,,
,,,,,,,,,,,,,,,,Nbe h.,38,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,
 Sous compétence,,Conception et mise en œuvre de circuits numériques à l'aide du langage VHDL,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,,,,,,,
,Capacité,Ecrire la description correspondant au fonctionnement d'un circuit avec les instructions VHDL appropriées,,,,,,,,,,,,,COMPETENCES :,,,,,,,,,,,
,Capacité,Mettre en oeuvre les différentes étapes du flot de conception avec les outils appropriés pour implémenter des fonctions logiques simples ,,,,,,,,,,,,,Partie VHDL :,,,,,,,,,,,
,Capacité,Ecrire les bancs de test pour la réalisation de simulations fonctionnelles ,,,,,,,,,,,,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,
,Capacité,Tester et valider un circuit numérique à l'aide d'un analyseur logique,,,,,,,,,,,,, Sous compétence,,Conception et mise en œuvre de circuits numériques à l'aide du langage VHDL,,,,,,,,,
,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,,,,Capacité,Ecrire la description correspondant au fonctionnement d'un circuit avec les instructions VHDL appropriées,,,,,,,,,,
,Connaissance,Electronique numérique (systèmes logiques),,,,,,,,,,,,,Capacité,Mettre en oeuvre les différentes étapes du flot de conception avec les outils appropriés pour implémenter des fonctions logiques simples ,,,,,,,,,,
,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques",,,,,,,,,,,,,Capacité,Ecrire les bancs de test pour la réalisation de simulations fonctionnelles ,,,,,,,,,,
,,,,,,,,,,,,,,,Capacité,Tester et valider un circuit numérique à l'aide d'un analyseur logique,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,Connaissance,Electronique numérique (systèmes logiques),,,,,,,,,,
 Sous compétence,,Mettre en œuvre les propriétés physiques des matériaux pour l'optoélectronique,,,,,,,,,,,,,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques",,,,,,,,,,
,Capacité,Dimensionner une fibre optique pour les applications en télécommunication,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner une diode laser ,,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,
,Connaissance,"Capteurs couleurs CCD, CMOS",,,,,,,,,,,,, Sous compétence,,Conception de systèmes numériques à l'aide du langage VHDL,,,,,,,,,
,Connaissance,Physique du semiconducteur pour l'optoélectronique,,,,,,,,,,,,,Capacité,Concevoir des systèmes numériques répondant aux besoins d'un cahier des charges,,,,,,,,,,
,Connaissance,Propagation de la lumière dans un milieu transparent,,,,,,,,,,,,,Capacité,"Configurer le FPGA pour qu'il communique avec des périphériques (CAN, CNA, etc)",,,,,,,,,,
,Mots-clés,"Laser, semi-conducteurs, fibre optique, CMOS, CCD",,,,,,,,,,,,,Capacité,Tester et valider un système numérique à l'aide d'un analyseur logique,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,
Compétence 3,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,Connaissance,"Electronique analogique et numériques, capteurs",,,,,,,,,,
 Sous compétence,,Conception de systèmes numériques à l'aide du langage VHDL,,,,,,,,,,,,,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques, interfaçage",,,,,,,,,,
,Capacité,Concevoir des systèmes numériques répondant aux besoins d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Configurer le FPGA pour qu'il communique avec des périphériques (CAN, CNA, etc)",,,,,,,,,,,,,Partie Optoélectronique :,,,,,,,,,,,
,Capacité,Tester et valider un système numérique à l'aide d'un analyseur logique,,,,,,,,,,,,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,
,Connaissance,Principes généraux et fondamentaux du langage VHDL,,,,,,,,,,,,, Sous compétence,,Mettre en œuvre les propriétés physiques des matériaux pour l'optoélectronique,,,,,,,,,
,Connaissance,"Electronique analogique et numériques, capteurs",,,,,,,,,,,,,Capacité,Dimensionner une fibre optique pour les applications en télécommunication,,,,,,,,,,
,Mots-clés,"VHDL, FPGA, simulation fonctionnelle, implémentation de circuits numériques, interfaçage",,,,,,,,,,,,,Capacité,Dimensionner une diode laser ,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,"Capteurs couleurs CCD, CMOS",,,,,,,,,,
 Sous compétence,,Conception de systèmes d'interfaçage optoélectroniques,,,,,,,,,,,,,Connaissance,Physique du semiconducteur pour l'optoélectronique,,,,,,,,,,
,Capacité,Dimensionner un système électronique basé sur des optocoupleurs,,,,,,,,,,,,,Connaissance,Propagation de la lumière dans un milieu transparent,,,,,,,,,,
,Connaissance,Fonctions de base de l'électronique analogique,,,,,,,,,,,,,Mots-clés,"Laser, semi-conducteurs, fibre optique, CMOS, CCD",,,,,,,,,,
,Connaissance,Composants optoélectroniques,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"AOP, optocoupleurs, LED, capteur optique",,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,
,,,,,,,,,,,,,,, Sous compétence,,Conception de systèmes d'interfaçage optoélectroniques,,,,,,,,,
,,,,,,,,,,,,,,,Capacité,Dimensionner un système électronique basé sur des optocoupleurs,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Fonctions de base de l'électronique analogique,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Composants optoélectroniques,,,,,,,,,,
,,,,,,,,,,,,,,,Mots-clés,"AOP, optocoupleurs, LED, capteur optique",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,
,,,,,,,,,,,,,,,VHDL :,,,,,,,,,,,
,,,,,,,,,,,,,,,Cours (12h) :,,,,,,,,,,,
,,,,,,,,,,,,,,,Les composants FPGA,,,,,,,,,,,
,,,,,,,,,,,,,,,Principes généraux et fondamentaux,,,,,,,,,,,
,,,,,,,,,,,,,,,"Notions d'entité, architecture, les processus, les types, les instructions (concurrentes et séquentielles), les",,,,,,,,,,,
,,,,,,,,,,,,,,,"machines d'état, les bibliothèques de conception",,,,,,,,,,,
,,,,,,,,,,,,,,,Notions de temps (métastabilité),,,,,,,,,,,
,,,,,,,,,,,,,,,Applications (16h) :,,,,,,,,,,,
,,,,,,,,,,,,,,,Ecriture de test-bench,,,,,,,,,,,
,,,,,,,,,,,,,,,Présentation des bases du langage VHDL (avec les outils Xilinx).  Implémentation de circuits numériques,,,,,,,,,,,
,,,,,,,,,,,,,,,de base et de fonctions avancées,,,,,,,,,,,
,,,,,,,,,,,,,,,Optoélectronique :,,,,,,,,,,,
,,,,,,,,,,,,,,,Physique et technologie des composants,,,,,,,,,,,
,,,,,,,,,,,,,,,Physique des semi-conducteurs,,,,,,,,,,,
,,,,,,,,,,,,,,,"Absorption, recombinaison et amplification optique",,,,,,,,,,,
,,,,,,,,,,,,,,,Composants optoélectroniques,,,,,,,,,,,
,,,,,,,,,,,,,,,Laser,,,,,,,,,,,
,,,,,,,,,,,,,,,Applications optoélectroniques,,,,,,,,,,,
,,,,,,,,,,,,,,,Grandeurs physiques,,,,,,,,,,,
,,,,,,,,,,,,,,,Photorésistance,,,,,,,,,,,
,,,,,,,,,,,,,,,Photodiode,,,,,,,,,,,
,,,,,,,,,,,,,,,Optocoupleur,,,,,,,,,,,
,,,,,,,,,,,,,,,Capteurs couleur,,,,,,,,,,,
,,,,,,,,,,,,,,,Tube cathodique,,,,,,,,,,,
,,,,,,,,,,,,,,,Microscope électronique à balayage,,,,,,,,,,,
,,,,,,,,,,,,,,,Microscope électronique en emission,,,,,,,,,,,
,,,,,,,,,,,,,,,Optoélectronique pour les télécomunications,,,,,,,,,,,
,,,,,,,,,,,,,,,Guidage de la lumière dans une fibre,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibre optique,,,,,,,,,,,
,,,,,,,,,,,,,,,Application de l'optoélectronique aux télécommunications,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
