,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE35,Intitulé de l'EC,ETEP2,Electronique de puissance et Electrotechnique 2,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,UE35,Intitulé de l'EC,ETEP2,Electronique de puissance et Electrotechnique 2,,,,,,,,,,
,,Nbe h.,78,,,,,,,,,,,,,Crédits,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,Nbe h.,78,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,,
Sous compétence,,Mettre en œuvre les diodes et thyristors dans un redresseur ou onduleur non autonome monophasé ou triphasé,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre un redresseur fonctionnant en quatre quadrants,,,,,,,,,,,,,OBJECTIFS:,,,,,,,,,,,,,
,Capacité,Caractériser les séquences de fonctionnement en conduction continue ou discontinue,,,,,,,,,,,,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,
,Capacité,Choisir les composants de puissance à mettre en œuvre dans un redresseur,,,,,,,,,,,,,Sous compétence,Mettre en œuvre les diodes et thyristors dans un redresseur ou onduleur non autonome monophasé ou triphasé,,,,,,,,,,,,
,Connaissance,Topologie des montages redresseur à diode ou thyristor,,,,,,,,,,,,,Capacité,Mettre en œuvre un redresseur fonctionnant en quatre quadrants,,,,,,,,,,,,
,Connaissance,Perturbations harmoniques induites par un redresseur,,,,,,,,,,,,,Capacité,Caractériser les séquences de fonctionnement en conduction continue ou discontinue,,,,,,,,,,,,
,Connaissance,Principales méthodes de commande d'un redresseur à thyristors.,,,,,,,,,,,,,Capacité,Choisir les composants de puissance à mettre en œuvre dans un redresseur,,,,,,,,,,,,
,Mots-clés,"Redresseur, Pont de Graetz, Diode de Puissance, thyristor, commande par angle de phase",,,,,,,,,,,,,Connaissance,Topologie des montages redresseur à diode ou thyristor,,,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Perturbations harmoniques induites par un redresseur,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,Connaissance,Principales méthodes de commande d'un redresseur à thyristors.,,,,,,,,,,,,
Sous compétence,,Mettre en œuvre les matériaux magnétiques dans les transformateurs et machines électriques tournantes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser le circuit magnétique d’un transformateur ou d'une machine électrique,,,,,,,,,,,,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,,
,Capacité,Mettre en œuvre et modéliser le couplage magnétique entre deux circuits électriques.,,,,,,,,,,,,,Sous compétence,Mettre en œuvre les matériaux magnétiques dans les transformateurs et machines électriques tournantes,,,,,,,,,,,,
,Connaissance,Pertes magnétiques dans un transformateur,,,,,,,,,,,,,Capacité,Modéliser le circuit magnétique d’un transformateur ou d'une machine électrique,,,,,,,,,,,,
,Connaissance,Relations entre grandeurs électriques et grandeurs magnétiques au sein d'un transformateur,,,,,,,,,,,,,Capacité,Mettre en œuvre et modéliser le couplage magnétique entre deux circuits électriques.,,,,,,,,,,,,
,Mots-clés,"Circuits-couplés, Circuits magnétiques",,,,,,,,,,,,,Connaissance,Pertes magnétiques dans un transformateur,,,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Relations entre grandeurs électriques et grandeurs magnétiques au sein d'un transformateur,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
