,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,ETEP3,Electronique de puissance et Electrotechnique 3,,,,,,,,,,,,UE42,Intitulé de l'EC,ETEP3,Electronique de puissance et Electrotechnique 3,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,Crédits,3,,,,,,,,,,
,,Nbe h.,50,,,,,,,,,,,,,,Nbe h.,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,C,,,,,,,,,,,,,,,
Sous-compétence,,Mettre en oeuvre des composants électroniques de puissance et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,OBJECTIFS,,,,,,,,,,,,
,Capacité,Savoir calculer des caractéristiques liées à des performances sur les convertisseurs classiques et les associer à des valeurs de composants,,,,,,,,,,,,,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,
,Capacité,Etre capable d'analyser pour comprendre le fonctionnement d'un convertisseur,,,,,,,,,,,,,,Sous-compétence,Mettre en oeuvre des composants électroniques de puissance et identifier leur fonction au sein d'un montage,,,,,,,,,,,
,Connaissance,Connaître les particularités de l'utilisation des composants passifs pour la conversion statique d'énergie électrique,,,,,,,,,,,,,,Capacité,Savoir calculer des caractéristiques liées à des performances sur les convertisseurs classiques et les associer à des valeurs de composants,,,,,,,,,,,
,Connaissance,Connaître les notions de base sur les composants semi-conducteurs de puissance en commutation,,,,,,,,,,,,,,Capacité,Etre capable d'analyser pour comprendre le fonctionnement d'un convertisseur,,,,,,,,,,,
,Connaissance,Connaître les règles d'association des sources,,,,,,,,,,,,,,Connaissance,Connaître les particularités de l'utilisation des composants passifs pour la conversion statique d'énergie électrique,,,,,,,,,,,
,Mots-clés,"Composants électroniques passifs et actifs, semi-conducteurs de puissance",,,,,,,,,,,,,,Connaissance,Connaître les notions de base sur les composants semi-conducteurs de puissance en commutation,,,,,,,,,,,
,,,,,,,,,,,,,,,,Connaissance,Connaître les règles d'association des sources,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,
Sous-compétence,,Mettre en oeuvre les propriétés magnétiques et semi-conductrices pour la conversion statique d'énergie,,,,,,,,,,,,,,Sous-compétence,Mettre en oeuvre les propriétés magnétiques et semi-conductrices pour la conversion statique d'énergie,,,,,,,,,,,
,Capacité,Etre capable d'analyser le fonctionnement d'un composant magnétique dans le cas de la conversion continu/continu,,,,,,,,,,,,,,Capacité,Etre capable d'analyser le fonctionnement d'un composant magnétique dans le cas de la conversion continu/continu,,,,,,,,,,,
,Capacité,Etre capable de dimensionner des éléments composant une cellule de commutation,,,,,,,,,,,,,,Capacité,Etre capable de dimensionner des éléments composant une cellule de commutation,,,,,,,,,,,
,Connaissance,Connaître les règles de dimensionnement de circuit magnétique et électronique appliquées au convertisseur de puissance,,,,,,,,,,,,,,Connaissance,Connaître les règles de dimensionnement de circuit magnétique et électronique appliquées au convertisseur de puissance,,,,,,,,,,,
,Connaissance,Connaître les notions de transfert d'énergie et leur implication sur le rendement du dispositif,,,,,,,,,,,,,,Connaissance,Connaître les notions de transfert d'énergie et leur implication sur le rendement du dispositif,,,,,,,,,,,
,Mots-clés,"Dimensionnement, Circuit magnétique, cellule de commutation",,,,,,,,,,,,,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sous-compétence,Mettre en œuvre les architectures de conversion statique d'énergie,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,3,C,,,Capacité,Etre capable de proposer des pistes de solutions  pour les principaux problèmes rencontrés dans le domaine de la conversion statique d'énergie,,,,,,,,,,,
Sous-compétence,,Mettre en œuvre les architectures de conversion statique d'énergie,,,,,,,,,,,,,,Capacité,Etre capable d'identifier les paramètres d'une machine alternative expérimentalement,,,,,,,,,,,
,Capacité,Etre capable de proposer des pistes de solutions  pour les principaux problèmes rencontrés dans le domaine de la conversion statique d'énergie,,,,,,,,,,,,,,Capacité,Savoir analyser un système constitué d'une machine électrique et de son alimentation,,,,,,,,,,,
,Capacité,Etre capable d'identifier les paramètres d'une machine alternative expérimentalement,,,,,,,,,,,,,,Connaissance,"Connaître les architectures des convertisseurs DC-DC classiques (Buck, Boost, Buck-Boost, Flyback, Forward, bras de pont, pont complet)",,,,,,,,,,,
,Capacité,Savoir analyser un système constitué d'une machine électrique et de son alimentation,,,,,,,,,,,,,,Connaissance,Connaître les architectures des onduleurs classiques,,,,,,,,,,,
,Connaissance,"Connaître les architectures des convertisseurs DC-DC classiques (Buck, Boost, Buck-Boost, Flyback, Forward, bras de pont, pont complet)",,,,,,,,,,,,,,Connaissance,Sélection d'une architecture en fonction d'un cahier des charges défini,,,,,,,,,,,
,Connaissance,Connaître les architectures des onduleurs classiques,,,,,,,,,,,,,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,
