,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE32,Intitulé de l'EC,IF1,Informatique 1,,,,,,,,,,,UE32,Intitulé de l'EC,IF1,Informatique 1,,,,,,,,
,,Crédits,5,,,,,,,,,,,,,Crédits,5,,,,,,,,,
,,Nbe h.,66,,,,,,,,,,,,,Nbe h.,66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,COMPETENCES,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,,,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,
,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,,,,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,
,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,,,,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,
,Connaissance,Technologie des composants,,,,,,,,,,,,,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,
,Mots-clés,Technologie composants,,,,,,,,,,,,,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Technologie des composants,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,
,Capacité,Etre capable de formaliser et simplifier des systèmes en logique combinatoire,,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,Capacité,Etre capable de formaliser et simplifier des systèmes en logique combinatoire,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions en logique combinatoire avec des composants standards,,,,,,,,,,,,,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,,,,Capacité,Etre capable de réaliser des fonctions en logique combinatoire avec des composants standards,,,,,,,,,,
,Capacité,Etre capable de formaliser et simplifier des systèmes en logique séquentielle,,,,,,,,,,,,,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,
,Capacité,Etre capable de concevoir et analyser des systèmes en logique séquentielle,,,,,,,,,,,,,Capacité,Etre capable de formaliser et simplifier des systèmes en logique séquentielle,,,,,,,,,,
,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,,,,Capacité,Etre capable de concevoir et analyser des systèmes en logique séquentielle,,,,,,,,,,
,Connaissance,"Systèmes de numérations, bases",,,,,,,,,,,,,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,
,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,,,,Connaissance,"Systèmes de numérations, bases",,,,,,,,,,
,Connaissance,Eléments constitutifs des systèmes logiques séquentiels,,,,,,,,,,,,,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,
,Mots-clés,"Opérateurs logiques, fonctions booléennes, Bascules, compteurs, ",,,,,,,,,,,,,Connaissance,Eléments constitutifs des systèmes logiques séquentiels,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence3,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,2,C,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,
,Capacité,Etre capable d'appréhender les outils informatiques de l'ingénieur,,,,,,,,,,,,,Capacité,Etre capable d'appréhender les outils informatiques de l'ingénieur,,,,,,,,,,
,Capacité,Etre capable de développer des logiciels de haut niveau sur des systèmes informatiques à ressources contraintes,,,,,,,,,,,,,Capacité,Etre capable de développer des logiciels de haut niveau sur des systèmes informatiques à ressources contraintes,,,,,,,,,,
,Capacité,Etre capable d'analyser et concevoir un projet informatique,,,,,,,,,,,,,Capacité,Etre capable d'analyser et concevoir un projet informatique,,,,,,,,,,
,Connaissance,Syntaxe élémentaire du langage C/C++,,,,,,,,,,,,,Connaissance,Syntaxe élémentaire du langage C/C++,,,,,,,,,,
,Connaissance,"Algorithmes standards  (tri, manipulation de tableaux et matrices)",,,,,,,,,,,,,Connaissance,"Algorithmes standards  (tri, manipulation de tableaux et matrices)",,,,,,,,,,
,Connaissance,Notions fondamentales des Systèmes d'Exploitation et de la compilation,,,,,,,,,,,,,Connaissance,Notions fondamentales des Systèmes d'Exploitation et de la compilation,,,,,,,,,,
,Connaissance,Notions fondamentales de la compilation,,,,,,,,,,,,,Connaissance,Notions fondamentales de la compilation,,,,,,,,,,
,Mots-clés,"langage C/C++, compilation, fonction, passage de paramères, gestion dynamique de la mémoire",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,
,,,,,,,,,,,,,,,L'algèbre de Boole,,,,,,,,,,,
,,,,,,,,,,,,,,,L'algèbre de Boole repose sur l'utilisation des opérateurs OU et ET et sept axiomes sont nécessaires pour décrire complètement les propriétés de cette algèbre particulière. ,,,,,,,,,,,
,,,,,,,,,,,,,,,"Cela permet d'établir ensuite certaines règles très utiles pour effectuer les calculs. D'autres opérateurs sont déduits des deux opérateurs de base ce sont les NOR et les NAND, la somme disjonctive et le OU exclusif ainsi que l'implication. Les méthodes de recherche des solutions minimales des fonctions booléennes sont ensuite décrites et des exemples d'application sont donnés et résolus. Enfin, certaines techniques de codage permettant de détecter et de corriger les erreurs de transmission sont traitées. ",,,,,,,,,,,
,,,,,,,,,,,,,,,Langage C ,,,,,,,,,,,
,,,,,,,,,,,,,,,Les bases du langage C sont données en cours et les étudiants les appliquent en codant des projets durant les Travaux Dirigés sur machine informatique. ,,,,,,,,,,,
,,,,,,,,,,,,,,,Système logique ,,,,,,,,,,,
,,,,,,,,,,,,,,,"Modèles mathématiques des systèmes logiques combinatoire et séquentiel, Constituants basiques des systèmes combinatoires : codeurs, multiplexeurs, circuits programmables (FPLA), additionneurs, comparateurs, Constituants basiques des systèmes séquentiels : bascules asynchrones (RS, RST) et synchrones (maitre-esclave, JK, T, D) -Analyse et synthèse des systèmes séquentiels synchrones : compteurs et registres usuels",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MOTS-CLES,,,,,,,,,,,
,,,,,,,,,,,,,,,"Opérateurs logiques, fonctions booléennes, Bascules, compteurs",,,,,,,,,,,
,,,,,,,,,,,,,,,Technologie composants,,,,,,,,,,,
,,,,,,,,,,,,,,,"langage C/C++, compilation, fonction, passage de paramères, gestion dynamique de la mémoire",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
