,,,,,,,,,,,,,,,,,,,,,,,,,
,UE35,Intitulé de l'EC,IF2,Informatique 2,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable d'évaluer et comparer des approches mathématiques et algorithmiques,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de planifier et organiser une réalisation informatique en petit groupe,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de résoudre des problémes algorithmques élémentaires pour l'interfacage et le traitement des signaux,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Algorithmes de gestion des entrées et sorties,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Algorithmie des éléments d’analyse numérique,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Algorithmie, analyse numérique, interfaçage des signaux",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et analyser des systèmes à base de microcontrôleurs,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter des systèmes à base de microcontrôleurs",,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de maîtriser les outils de compilation croisée,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Architectures des microcontrôleurs et à base de microcontrôleurs,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"IDE et compilation croisée, débogage distant",,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Algorithmes, fonctionnement des I/O et modules spécifiques des microcontroleurs",,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Architecture de microcontrôleur, compilation croisée, déboggage distant",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable de développer des logiciels de bas niveau pour systèmes embarqués,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de développer des logiciels de haut niveau pour systèmes embarqués,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de maîtriser les outils de développement pour systèmes embarqués,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Langage assembleur et langage C,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"IDE et compilation croisée, débogage distant",,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Gestion et mise en œuvre des interruptions matérielles,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Langage assembleur, langage de haut niveau (C/C++)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Etre capable de structurer une application avec un programme principal et une routine d'interruption,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser une application structurée en langage C/C++,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Gestion et mise en œuvre des interruptions matérielles,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Langage de haut niveau (C/C++),,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Interruption matérielle, langage de haut niveau",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,1,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
