,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,,,,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,Crédits,2,,,,,,,,,,
,,Nbe h.,34,,,,,,,,,,,,,,Nbe h.,34,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,OBJECTIFS:,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels en Orienté Objet,,,,,,,,,,,,,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,
,Connaissance,Structure et mécanismes des routines d'interruption et des échanges d'information,,,,,,,,,,,,,,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,
,Connaissance,"4 Paradigmes orientés objet : encapsulation, héritage, polymorphisme, généricité",,,,,,,,,,,,,,Capacité,Etre capable de concevoir et développer des logiciels en Orienté Objet,,,,,,,,,,,
,Connaissance,Langage UML : diagramme de class,,,,,,,,,,,,,,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,
,Mots-clés,"Langage C/C++, UML, routine d'interruption, ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Connaissance,"4 Paradigmes OO : encapsulation, héritage, polymorphisme, généricité",,,,,,,,,,,
,,,,,,,,,,,,,,,,Connaissance,Langage UML : diagramme de class,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,3,C,,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,,,,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,
,Capacité,Etre capable d'utiliser la pile pour ses usages de base en langage machine,,,,,,,,,,,,,,Capacité,Etre capable d'utiliser la pile pour ses usages de base en langage machine,,,,,,,,,,,
,Capacité,Etre capable de définir et d'utiliser des variables en langage machine,,,,,,,,,,,,,,Capacité,Etre capable de définir et d'utiliser des variables en langage machine,,,,,,,,,,,
