,COMPETENCES ENGLOBANTES,,,,,,,,,,,,
,,,,,,,,,,,,,
1,COMPETENCES EN SCIENCES POUR L’INGÉNIEUR,,,,,,,,,,,,
Ancienne version,Résoudre les questions posées par un problème scientifique en étant conscient des limites ,,,,,,,,,,,,
,Développer une démarche expérimentale ,,,,,,,,,,,,
,Mettre en œuvre une démarche scientifique ,,,,,,,,,,,,
,Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies,,,,,,,,,,,,
,"Identifier, formuler et résoudre un problème d'ingénierie complexe ",,,,,,,,,,,,
,,,,,,,,,,,,,
Nouvelle version,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,
,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,
,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,
,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,
,Traiter des données ,,,,,,,,,,,,
,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,
,,,,,,,,,,,,,
2,COMPETENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,
,Mettre en œuvre des composants électroniques analogiques et/ou numériques (et identifier leur fonction au sein d'un montage),,,,,,,,,,,,
,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,
,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,
,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,
,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,
,Mettre en œuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,
,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,
,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,,,
,,,,,,,,,,,,,
3,"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,
,"Se connaitre, se gérer physiquement et mentalement ",,,,,,,,,,,,
,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,
,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,
,"Faire preuve de créativité, innover, entreprendre ",,,,,,,,,,,,
,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,
,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,
,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
