,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,MA1,Mathématiques 1,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,
,,Nbe h.,58,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,
,,,,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,
Compétence 1,,Résoudre les questions posées par un problème scientifique en étant conscient des limites ,,,,,,,,,,,,2,C,,OBJECTIFS :,,,
,Capacité,Savoir mettre en équation le problème posé,,,,,,,,,,,,,,,Acquérir les bases des mathématiques générales et appliquées pour les sciences de l'ingénieur,,,
,Capacité,Savoir discrétiser un problème  et implémenter une solution numérique,,,,,,,,,,,,,,,,,,
,Capacité,Proposer une solution analytique au problème posé,,,,,,,,,,,,,,,PROGRAMME,,,
,Connaissance,Solutions algorithmiques de base en analyse numérique,,,,,,,,,,,,,,,"Espaces de Hilbert, Séries de Fourier, Distributions",,,
,Connaissance,Apprentissage du langage de programmation Matlab,,,,,,,,,,,,,,,"Interpolation et Approximation, Intégration numérique,",,,
,Connaissance,Analyser un signal à partir de sa décomposition spectrale,,,,,,,,,,,,,,,Méthodes de résolution de systèmes d'équations linéaires,,,
,Mots-clés,"Algorithmique de base, Langage de programmation Matlab,  spectre d'un signal",,,,,,,,,,,,,,,Travaux pratique en matlab,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies,,,,,,,,,,,,1,C,,,,,
,Capacité,Connaître des algorithmes de base en calcul scientifique et leur complexité et stabilité,,,,,,,,,,,,,,,,,,
,Capacité,Savoir implémenter en Matlab une solution algorithmique,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir choisir,  parmi un lot de méthodes données,  la méthode la plus adaptée  au  problème donné",,,,,,,,,,,,,,,,,,
,Connaissance,Coût algorithmique et contrôle des erreurs numériques,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir analyser les limites d'un algorithme dans un cadre réel,,,,,,,,,,,,,,,,,,
,Connaissance,Solutions algorithmiques de base en analyse numérique,,,,,,,,,,,,,,,,,,
,Mots-clés,"Analyse numérique, Matlab et erreurs numériques",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Identifier, formuler et résoudre un problème d'ingénierie complexe ",,,,,,,,,,,,2,C,,,,,
,Capacité,Savoir mettre en équation un problème complexe,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de choisir une méthode numérique  adéquate pour la résolution du problème modélisé.,,,,,,,,,,,,,,,,,,
,Connaissance,Solutions algorithmiques de base en analyse numérique,,,,,,,,,,,,,,,,,,
,Connaissance,Apprentissage du langage de programmation Matlab,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Matlab, Analyse numérique et  calcul scientifique",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,2,,,,,,
,Capacité,Savoir utiliser les bases de l'analyse numérique pour discrétiser et proposer une solution numérique à un problème donné.,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'analyser et d'exploiter  le spectre d'un signal,,,,,,,,,,,,,,,,,,
,Capacité,Savoir utiliser la théorie des  distributions pour le traitement du signal,,,,,,,,,,,,,,,,,,
,Connaissance,Décomposition d'un signal dans une base orthonormée et  séries de Fourier,,,,,,,,,,,,,,,,,,
,Connaissance,Introduction et fondamentaux de la théorie des distributions,,,,,,,,,,,,,,,,,,
,Connaissance,"introduction à l'analyse numérique, erreur machine, interpolation, approximation, intégration et résolution de systèmes linéaires",,,,,,,,,,,,,,,,,,
,Mots-clés,"Série de Fourier,  théorie des distributions et théorème d'échantillonage de Nyquist-Shannon ;  Introduction à  l'analyse numérique",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,1,,,,,,
,Capacité,"Savoir discrétiser, approcher, filtrer et reconstruire un signal donné  ",,,,,,,,,,,,,,,,,,
,Capacité,Savoir intégrer et résoudre un système linéaire par des approches directes,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,"Interpolation, approximation au sens des moindre carrés ",,,,,,,,,,,,,,,,,,
,Connaissance,Intégration discrète et Décomposition LU/Cholesky,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Interpolation, méthode des moindres carrés, intégration numérique, résolution de systèmes linéaires",,,,,,,,,,,,,,,,,,
