,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,MA3,Mathématiques 3,,,,,,,,,,,,,UE41,Intitulé de l'EC,MA3,Mathématiques 3,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,Crédits,3,,,,,,,,,,,,,
,,Nbe h.,40,,,,,,,,,,,,,,,Nbe h.,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,OBJECTIFS:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,2,C,,
Compétence 1,,Résoudre les questions posées par un problème scientifique en étant conscient des limites ,,,,,,,,,,,,2,C,,Résoudre les questions posées par un problème scientifique en étant conscient des limites ,,,,,,,,,,,,,,,
,Capacité,Savoir valider ou infirmer une hypothèse,,,,,,,,,,,,,,,,Capacité,Savoir valider ou infirmer une hypothèse,,,,,,,,,,,,,
,Capacité,Estimer un paramètre par sa valeur ou par sa dispersion ,,,,,,,,,,,,,,,,Capacité,Estimer un paramètre par sa valeur ou par sa dispersion ,,,,,,,,,,,,,
,Capacité,Comprendre l’apport d’un modèle à des données empiriques,,,,,,,,,,,,,,,,Capacité,Comprendre l’apport d’un modèle à des données empiriques,,,,,,,,,,,,,
,Connaissance,Tests d’hypothèses,,,,,,,,,,,,,,,,Connaissance,Tests d’hypothèses,,,,,,,,,,,,,
,Connaissance,"Calcul d’estimateurs, de biais et d’intervalles de confiance",,,,,,,,,,,,,,,,Connaissance,"Calcul d’estimateurs, de biais et d’intervalles de confiance",,,,,,,,,,,,,
,Connaissance,Statistiques descriptives,,,,,,,,,,,,,,,,Connaissance,Statistiques descriptives,,,,,,,,,,,,,
,Mots-clés,"Tests d’hypothèses et risques associés, Estimations et estimateurs, Statistiques d’ensemble et d’ordre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Développer une démarche expérimentale ,,,,,,,,,,,,2,C,,
Compétence 2,,Développer une démarche expérimentale ,,,,,,,,,,,,2,C,,,Capacité,Concevoir et mettre en place un plan d’échantillonnage,,,,,,,,,,,,,
,Capacité,Concevoir et mettre en place un plan d’échantillonnage,,,,,,,,,,,,,,,,Capacité,Calculer et réduire le coût d’un plan d’échantillonnage,,,,,,,,,,,,,
,Capacité,Calculer et réduire le coût d’un plan d’échantillonnage,,,,,,,,,,,,,,,,Connaissance,Théorie de l’échantillonnage,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,Connaissance,"Plans d’échantillonnage simple, double, multiple",,,,,,,,,,,,,
,Connaissance,Théorie de l’échantillonnage,,,,,,,,,,,,,,,,Connaissance,"Statistiques exhaustives, quantité d’information",,,,,,,,,,,,,
,Connaissance,"Plans d’échantillonnage simple, double, multiple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Statistiques exhaustives, quantité d’information",,,,,,,,,,,,,,,Mettre en œuvre une démarche scientifique ,,,,,,,,,,,,,,,
,Mots-clés,Plans d’échantillonnage,,,,,,,,,,,,,,,,Capacité,Modéliser une situation non déterministe,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Capacité,Valider un modèle aléatoire,,,,,,,,,,2,C,,
Compétence 3,,Mettre en œuvre une démarche scientifique ,,,,,,,,,,,,2,C,,,Capacité,Situer un paramètre dans un intervalle ou estimer une valeur,,,,,,,,,,,,,
,Capacité,Modéliser une situation non déterministe,,,,,,,,,,,,,,,,Connaissance,"Probabilités, probabilités conditionnelles, point de vue bayésien",,,,,,,,,,,,,
,Capacité,Valider un modèle aléatoire,,,,,,,,,,,,,,,,Connaissance,Distributions aléatoires et tests d’ajustement,,,,,,,,,,,,,
,Capacité,Situer un paramètre dans un intervalle ou estimer une valeur,,,,,,,,,,,,,,,,Connaissance,"Estimation ponctuelle et par intervalle (max de vraisemblance, bayésien)",,,,,,,,,,,,,
,Connaissance,"Probabilités, probabilités conditionnelles, point de vue bayésien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Distributions aléatoires et tests d’ajustement,,,,,,,,,,,,,,,"Identifier, formuler et résoudre un problème d'ingénierie complexe ",,,,,,,,,,,,,,,
,Connaissance,"Estimation ponctuelle et par intervalle (max de vraisemblance, bayésien)",,,,,,,,,,,,,,,,Capacité,Calculer une prévision de puissance annuelle pour une éolienne,,,,,,,,,,,,,
,Mots-clés,"Tests de Kolmogorov, Shapiro-Wilk, du chi-deux, Intervalle de confiance, Bootstrap",,,,,,,,,,,,,,,,Capacité,Calculer la hauteur d’une crue,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Capacité,Savoir estimer la taille d’une population,,,,,,,,,,2,C,,
Compétence 4,,"Identifier, formuler et résoudre un problème d'ingénierie complexe ",,,,,,,,,,,,2,C,,,Connaissance,"Estimation ponctuelle et par intervalle (max de vraisemblance, bayésien)",,,,,,,,,,,,,
,Capacité,Calculer une prévision de puissance annuelle pour une éolienne,,,,,,,,,,,,,,,,Connaissance,"Lois des extrêmes, statistiques d’ordre",,,,,,,,,,,,,
,Capacité,Calculer la hauteur d’une crue,,,,,,,,,,,,,,,,Connaissance,Régression linéaire,,,,,,,,,,,,,
,Capacité,Savoir estimer la taille d’une population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Estimation ponctuelle et par intervalle (max de vraisemblance, bayésien)",,,,,,,,,,,,,,,COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,
,Connaissance,"Lois des extrêmes, statistiques d’ordre",,,,,,,,,,,,,,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,,,,
,Connaissance,Régression linéaire,,,,,,,,,,,,,,,,Capacité,"Déterminer différents estimateurs, calculer leurs caractéristiques",,,,,,,,,,,,,
,Mots-clés,"Lois usuelles, Théorème de la Limite Centrée, Loi de Gumbel, de Frechet, de Weibull, Bootstrap, Maximum de vraisemblance, MAP",,,,,,,,,,,,,,,,Capacité,Calculer une entropie,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Capacité,Calculer des probabilités d’erreur dans des canaux de transmission,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,Connaissance,Théorie de l’information (rudiments),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Connaissance,"Probabilités, probabilités conditionnelles, point de vue bayésien",,,,,,,,,,2,C,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,2,C,,,,,,,,,,,,,,,,,
,Capacité,"Déterminer différents estimateurs, calculer leurs caractéristiques",,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,,,,
,Capacité,Calculer une entropie,,,,,,,,,,,,,,,"Probabilités, probabilités conditionnelles (cf MA2)",,,,,,,,,,,,,,,
,Capacité,Calculer des probabilités d’erreur dans des canaux de transmission,,,,,,,,,,,,,,,Statistiques descriptives,,,,,,,,,,,,,,,
,Connaissance,Théorie de l’information (rudiments),,,,,,,,,,,,,,,"Variables et vecteurs aléatoires, moments",,,,,,,,,,,,,,,
,Connaissance,"Probabilités, probabilités conditionnelles, point de vue bayésien",,,,,,,,,,,,,,,"Distributions classiques (discrètes, exponentielle, laplace-gauss) et distributions dérivées (gamma, chideux,...)",,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,Lois des grands nombres et Théorème central limite,,,,,,,,,,,,,,,
,Mots-clés,"Quantité d’information, probabilité conditionnelle, probabilité bayésienne",,,,,,,,,,,,,,,Echantillonnage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Estimation (max de vraisemblance, bayésien) et intervalles de confiance",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Tests d'hypothèses et d'ajustement,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Régression linéaire,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Introduction aux plans d'expériences,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MOTS-CLES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Tests d’hypothèses et risques associés, Estimations et estimateurs, Statistiques d’ensemble et d’ordre",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Plans d’échantillonnage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Tests de Kolmogorov, Shapiro-Wilk, du chi-deux, Intervalle de confiance, Bootstrap",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Quantité d’information, probabilité conditionnelle, probabilité bayésienne",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Lois usuelles, Théorème de la Limite Centrée, Loi de Gumbel, de Frechet, de Weibull, Bootstrap, Maximum de vraisemblance, MAP",,,,,,,,,,,,,,,
