,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE54,Intitulé de l'EC,Option C2E,Conversion de l'Energie Electrique,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,12,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,180,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,3,C,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,,,,,,,,,
,Capacité,Mettre en œuvre des matériaux couplés pour la conversion d'énergie,,,,,,,,,,,,,Mettre en œuvre des matériaux couplés pour la conversion d'énergie,,,,,,,,,,,,,
,Capacité,Mettre en place une loi de comportement,,,,,,,,,,,,,"CAPACITES : Mettre en place une loi de comportement, Modéliser un élément et un système électroactifs, Choisir une batterie ou un matériau électro-actif pour une application donnée",,,,,,,,,,,,,
,Capacité,Modéliser un élément et un système électroactifs,,,,,,,,,,,,,"CONNAISSANCES : Différents types de couplages et de conversion et leurs mécanismes, Caractéristiques importantes d’un matériau électroactif, Procédés et méthodes de caractérisation de matériaux et systèmes électro-actifs",,,,,,,,,,,,,
,Capacité,Choisir une batterie ou un matériau électro-actif pour une application donnée,,,,,,,,,,,,,"MOTS-CLES : conversion électroactive (éolien, photovoltaïque, piézoélectrique, thermoélectrique, pyroélectrique, magnétisme, électrochimie), modélisation, caractérisation",,,,,,,,,,,,,
,Connaissance,Différents types de couplages et de conversion et leurs mécanismes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Caractéristiques importantes d’un matériau électroactif,,,,,,,,,,,,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,,
,Connaissance,Procédés et méthodes de caractérisation de matériaux et systèmes électro-actifs,,,,,,,,,,,,,"CAPACITES : Mettre en œuvre des solutions de production, distribution et stockage de l'énergie, Donner et expliquer le schéma de principe d’une centrale thermique, Dimensionner une installation éolienne ou photovoltaïque",,,,,,,,,,,,,
,Mots-clés,"conversion électroactive (éolien, photovoltaïque, piézoélectrique, thermoélectrique, pyroélectrique, magnétisme, électrochimie), modélisation, caractérisation",,,,,,,,,,,,,"CONNAISSANCES : Identifier les problèmes sur un réseau de distribution électrique et les corriger, Principes de fonctionnement de différents types d'installation de production d'énergie, Principes de fonctionnement et réglage d’une turbine à vapeur et de la chaudière",,,,,,,,,,,,,
,,,,,,,,,,,,,,,"MOTS-CLES : centrales, turbine à vapeur, réseaux électriques, cycles thermiques, bureau d'étude",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,3,C,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,,
,Capacité,"Mettre en œuvre des solutions de production, distribution et stockage de l'énergie",,,,,,,,,,,,,"CAPACITES : Mettre en œuvre et dimensionner un circuit de charge de batterie, Principe d’une régulation au maximum de puissance , Structure de charge de batteries",,,,,,,,,,,,,
,Capacité,Donner et expliquer le schéma de principe d’une centrale thermique,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
,Capacité,Dimensionner une installation éolienne ou photovoltaïque,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
,Capacité,Identifier les problèmes sur un réseau de distribution électrique et les corriger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes de fonctionnement de différents types d'installation de production d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes de fonctionnement et réglage d’une turbine à vapeur et de la chaudière,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,,
,Mots-clés,"centrales, turbine à vapeur, réseaux électriques, cycles thermiques, bureau d'étude",,,,,,,,,,,,,CEE1 : Production de l’Energie Electrique (PEE – resp. S. Sellin – 74 h dont 12 h de bureau d'étude),,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 Sources d'Energie Electrique et Conversion (CEE1-PEE1 – 26  h),,,,,,,,,,,,,
,,,,,,,,,,,,,,,2 Energies Renouvelables (CEE1-PEE2 – 48  h dont 12 h de bureau d'étude),,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre et dimensionner un circuit de charge de batterie,,,,,,,,,,,,,CEE2 : Stockage et Transport de l’Electricité (STE – resp. L. Lebrun – 27 h),,,,,,,,,,,,,
,Connaissance,Principe d’une régulation au maximum de puissance ,,,,,,,,,,,,,1 Réseau électriques - Qualité de l'électricité (CEE2-STE1 – 7  h),,,,,,,,,,,,,
,Connaissance,Structure de charge de batteries,,,,,,,,,,,,,2 Stockage (CEE2-STE2 – 20 h),,,,,,,,,,,,,
,Mots-clés,"charge de batteries, conception d'une installation de production (bureau d'étude), conception et analyse d'un système intelligent (projets), capteurs et actionneurs électroactifs",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CEE3 : Matériaux et Systèmes Electro-Actifs (MSEA – resp. M. Lallart – 79 h dont 12h de projets et 12 h de TP),,,,,,,,,,,,,
,Capacité,Simplifier un système multiphysique et le modéliser,,,,,,,,,,,,,1 Couplages Electro-actifs (21 h),,,,,,,,,,,,,
,Capacité,Choix d’une technique d’analyse adapté,,,,,,,,,,,,,2 Modélisation et Applications des Systèmes Electro-Actifs (36 h dont 12h de projets et 12 h de TP),,,,,,,,,,,,,
,Capacité,Interpréter les résultats d’une simulation,,,,,,,,,,,,,3 Séminaires d’Ouverture Thématique (21 h),,,,,,,,,,,,,
,Connaissance,Applications typiques des matériaux électroactifs et architectures typiques de ces systèmes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Méthodes de représentation d’un système,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"bureau d'étude, projet de modélisation",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive",,,,,,,,,,2,C,,,,,,,,,,,,,,,
Sous-compétence,,"Prendre en compte les enjeux industriels et économiques dans les domaines de la conversion et production d'énergie, y compris renouvelable",,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Utiliser les énergies renouvelables,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser le potentiel d’un site,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Identifier des concepts innovants pour des applications futures,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Cycles de vie de l’énergie,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Contexte énergétique mondial,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Marché français de l'électricité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"photovoltaïque, éolien, contexte énergétique",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome",,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,Mettre en adéquation sensibilités personnelles et opportunités professionnelles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Contexte industriel et académique en termes de production d'énergie et d'applications des systèmes électroactifs,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Interventions extérieures, séminaires d'ouverture thématiques",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,Répartition des tâches et coordination,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Réaliser et présenter un travail bibliographique sur le thème des énergies et de la production d’électricité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Exposer efficacement un travail à l'écrit et à l'oral ; s'adapter à l'auditoire,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structure et démarche classiques de rendu de projet,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"bureau d'étude, projet de modélisation",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,Identifier des concepts innovants pour des applications futures,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Etat de l'art industriel et de la recherche,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Prospectives de recherche et attentes industrielles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"contexte économique, potentiels de développement",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
