,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE54,Intitulé de l'EC,Option ISIP,Ingénierie des Système Intégrés de Production,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,3,C,,,,,,,,,,,,,,,,,
,Capacité,Analyser le fonctionnement de l'entreprise de production selon le modèle inspiré de la pyramide CIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Niveau Process : Dimensionner des équipements en technologie pneumatique, électro-pneumatique. Commander un robot poly-articulé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Niveau Contrôle - Commande : Développer la commande de procédés industriels de type manufacturier (API et IHM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Développer la communication industrielle en implémentant les standards des réseaux de terrain, la technologie OPC, les Web Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation aux capteurs et actionneurs spécifiques aux industries de process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation à la commande de process continus en utilisant des SNCC (Systèmes Numériques de Contrôle Commande),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Sensibilisation à la sécurité Machines et à la cyber-sécurité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Industries manufacturières et de process : Capteurs, actionneurs,Robot, API, IHM, SNCC, Réseaux de communication, OPC, Web Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes (traitement et gestion de l’information),,,,,,,,,,,3,C,,,,,,,,,,,,,,,,,
,Capacité,Développer une application de MES (Manufacturing Execution System),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Développer, au sein d'un MES, les fonctionnalités d'exécution des fabrications et de suivi de la production (indicateurs de performance et gestion de la qualité)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation aux différents types de systèmes d'information industriels en industries manufacturières et de process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation aux spécificités des applications MES dans l'industrie de process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Systèmes d'information, MES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,,2,C,,,,,,,,,,,,,,,,,
,Capacité,Réfléchir à l'organisation de l'entreprise en utilisant des démarches d'amélioration continue de type Lean Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Développer le travail collaboratif au sein d'équipes projets favorisant les technologies innovantes et utilsant les concepts de l'Ingénierie Système,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser un système et mettre en place  l'ordonnancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation au droit du travail et des contrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Amélioration continue, Lean Management, Ingénierie Système, Ordonnancement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,3,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,3,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,3,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,3,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,3,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,1,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,1,M,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
