,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE54,Intitulé de l'EC,Option SEI,Technologie et physique des composants à semiconducteur,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,C,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre des composants électroniques semiconducteurs au sein d'un système électronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mesurer l'impact d'une technologie de semiconducteur sur les performances électriques d'un système électronique  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner un système électronique en fonction des contraintes d'une technologie de semiconducteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Décrire un circuit numérique destiné à être synthétisé via le langage de description matérielle VHDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Électronique analogique et numérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structures des composants semiconducteurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Langage de description matérielle VHDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Électronique analogique et numérique, circuit intégré, langage de description matérielle, composant semiconducteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,3,C,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre les propriétés physiques d'un matériau semiconducteur dans la conception et la fabrication d'un composant électronique ou d'un circuit intégré,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Comprendre la physique du semiconducteur et des composants semiconducteurs pour concevoir des composants et des circuits intégrés qui répondent à des besoins identifiés,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Identifier les différents procédés technologiques de salle blanche et savoir les intégrer dans la conception d'un composant semiconducteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir et modéliser un composant semiconducteur par éléments finis en s'appuyant sur des modèles physiques ou empiriques existants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Caractériser électriquement un composant semiconducteur, en faire le lien avec la physique du composant et en mesurer l'impact au sein d'un système électronique",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Physique du semiconducteur et des composants semiconducteurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Procédés technologiques de salle blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation par éléments finis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Caractérisations électriques sous pointes et en boîtier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Physique du semiconducteur et des composants semiconducteurs, procédés technologiques de salle blanche, TCAD, caractérisations physiques et électriques",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,2,M,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
