,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE54,Intitulé de l'EC,Option TDSI,Traitement numérique des signaux et des images,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,12,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,180,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,3,C,,,,,,,,,,,,
,Capacité,Spécifier et réaliser un rendu d'une image et une synthèse d'image 3D,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir et spécifier une chaine de traitement du signal ou de l'image,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser des signaux en vue de leurs traitements ou analyses,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Fondamentaux du traitement des images (filtrages linéaire/non-linéaire, contours, segmentations, analyse)",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fondamentaux théoriques et méthodes d'analyse et modélisation des signaux,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Fondamentaux théorique et méthodes de la théorie de l'estimation, de la décision et de l'apprentissage pour les signaux",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Initiation aux spécificités de traitements industrielles et médicales,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,3,C,,,,,,,,,,,,
,Capacité,Déterminer la technologie d'acquisition adaptée à un contexte par rapport à sa physique ou son environnement,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Concevoir et réaliser des traitements ou commandes sur des systèmes à base de FPGA, DSP ou GPU respectant des con-traintes spécifiques",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Mettre en oeuvre un système d'acquisition (RGB, depth, US, RX)",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Fondamentaux de l'imagerie optique, RX, US, RGB, de profondeur et la parole",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Fondamentaux de l'architecture des FPGA, DSP et GPU ainsi que l'optimisation algorithmique adaptée à ces architectures",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Initiation aux spécificités d'acquisition, transmission et stockage de données industrielles et médicales",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes (traitement et gestion de l’information),,,,,,,,,,,,3,C,,,,,,,,,,,,
,Capacité,Développer un logiciel de traitement d'image en appliquant une démarche d'ingénieur adaptée au problème,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Développer un traitement utilisant une architecture de calcul spécifique (GPP, FPGA, DSP ou GPU)",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en oeuvre des éléments existants afin de résoudre un problème complexe de traitement/analyse/représentation/modélisation de signaux ou d'images,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Langages de programmation pour le signal et l'image et leurs utilisations,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes et solutions de réalités virtuelle et augmentée,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Fondamentaux sur l'utilisation des FPGA, DSP et GPU ainsi que l'optimisation algorithmique adaptée à ces architectures",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,3,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,3,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,3,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,3,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,3,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,1,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,1,M,,,,,,,,,,,,,,
