,,,,,,,,,,,,,,,,,,,,,,,,,
,UE54,Intitulé de l'EC,Option TDSI,Traitement numérique des signaux et des images,,,,,,,,,,,,,,,,,,,,,
,,Crédits,12,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,180,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,FICHE ECTS ACTUELLE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,3,,,COMPETENCES et OBJECTIFS:,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,Maîtriser les méthodes de base du traitement numérique du signal et leur mise en oeuvre en temps réel avec des DSP et des FPGA.,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,Maîtriser les principales méthodes de traitement de l'information et de l'image naturelle ou synthétique,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,Maitriser les bases théoriques et la connaissance des applications typiques de la modélisation des signaux,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,"aléatoires, de la théorie de l'estimation et de la décision.",,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,TdSI1 : Traitement numérique des signaux,,,,,,,,
,,,,,,,,,,,,,,,,,"-Analyse des signaux (cours de 6h, travaux dirigés (TD) de 12h avec Matlab)",,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,3,,,"-Processeurs de signaux (DSP) (cours de 8h,travaux pratiques (TP)de 8h)",,,,,,,,
,Capacité,,,,,,,,,,,,,,,,"-Architectures pour le traitement du signal (cours de 4h, TP de 8h : VHDL et FPGA)",,,,,,,,
,Capacité,,,,,,,,,,,,,,,,-Séminaire industriel (2h) Applications des techniques temps fréquences.,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,TdSI2 : Traitement numérique des images,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,-Théorie de l'information et de la communication (cours de 8h),,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,"-Traitement de l'image pour la vision par ordinateur (cours de 16h, TD de 5h avec Matlab)",,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,"-Transformations orthogonales, ondelettes, applications (cours de 10h, TD de 3h avec Matlab)",,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,"-Infographie (cours de 8h, TD de 3h).",,,,,,,,
,,,,,,,,,,,,,,,,,"-Séminaires industriels (4h) Contrôle de qualité par vision, Acquisition des images en 3D.",,,,,,,,
Compétence 3,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,3,,,-Miniprojets proposés par des industriels (20h),,,,,,,,
,Capacité,,,,,,,,,,,,,,,,"TdSI3 : Modélisation, estimation, décision",,,,,,,,
,Capacité,,,,,,,,,,,,,,,,"-Modélisation stochastique des signaux et applications (cours 10h, TD avec Matlab 4h)",,,,,,,,
,Capacité,,,,,,,,,,,,,,,,-Analyse et synthèse de la parole (cours de 9h avec expérimentations),,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,"-Théorie de l'estimation et de la décision (cours 10h, TD avec Matlab 4h))",,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,- Séminaire industriel (2h): Base des techniques radars,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
