,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE56,Intitulé de l'EC,PFE,Projet de Fin d'Etudes,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,21,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive",,,,,,,,,,2,C,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,,,,,,,,,
,Capacité,prendre en compte les enjeux industriels et économiques,,,,,,,,,,,,,Le PFE est le dernier projet dans la formation. Il s’agit d’une expérience de travail de terrain d'un ingénieur dans une entreprise dans le cadre d'une mission technique de longue durée. Le domaine technique support du PFE permet de développer les compétences spécifiques de la spécialité choisie dans le cadre d’une réflexion personnelle sur le projet professionnel.,,,,,,,,,,,,,
,Capacité,s'approprier les différentes phases d'un projet,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,se sensibiliser au travail en contexte international ,,,,,,,,,,,,,,,,,,,,,,,,,,
,capacité,se sensibiliser à l'importance d'une réflexion éthique pour prendre en compte les enjeux sociétaux,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome",,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,gérer son temps et son projet,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,analyser et rédiger des documents professionnels,,,,,,,,,,,,,,,,,,,,,,,,,,
,connaissance,recherche de stage,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,démarche projet,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,2,M,,,,,,,,,,,,,,,
,Capacité,"s'intégrer dans une équipe, contribuer à l'animer, à l'organiser et à la faire évoluer",,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,,
,Capacité,utiliser les différents moyens de communication au sein de l'entreprise en s'adaptant à son interlocuteur,,,,,,,,,,,,,"Les étudiants sont autonomes dans leurs démarches auprès des entreprises. Les sujets sont d'une part, collectés par le service des stages du département et l'Espace Avenir Ingénieur de l'INSA et d'autre part résultent de candidatures spontanées ou réponses à offres de journaux, sites spécialisés, réseaux professionnels, AIDIL. ",,,,,,,,,,,,,
,Capacité,Exposer efficacement un travail à l'écrit et à l'oral ; s'adapter à l'auditoire,,,,,,,,,,,,,Chaque sujet de PFE est évalué au préalable par une commission de validation qui s'assure du contenu et du potentiel technique du sujet proposé. La majorité des sujets sont proposés par des ingénieurs et entreprises connus et dont le potentiel technique est reconnu.,,,,,,,,,,,,,
