,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,PRT,Projet de réalisation technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,3,C,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Concevoir et dimensionner un système technique couvrant plusieurs domaines du Génie Electrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Découper un projet sous forme de sous-fonctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser et simuler des systèmes électriques ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Choisir des composants pour une application donnée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de systèmes sous forme de schémas équivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Simulation de fonction électronique et/ou électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Analyse de solution technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Réaliser une analyse fonctionnelle autour d'un projet technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structure et démarche classiques d'analyse fonctionnelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Réalisation d'un système électronique et/ou électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Réalisation de prototype de circuit ou d'un système électronique ou électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Agencement de composants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Définition et réalisation des tests de validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Procédure de réalisation de prototype, réalisation de typon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Plan d'expériences pour la validation du projet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
