,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,SSMT,"Signaux, Systèmes et Mathématique des Transformées ",,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,"Etre capable de comprendre et d'appliquer les transformées de Fourier, Laplace et z",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir manipuler les signaux et calculer les grandeurs caractéristiques de ces signaux,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir calculer les transformées de signaux usuels,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir appliquer les transformées de Laplace et z à la résolution des équations différentielles et aux différences,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"signaux,  transformées de Fourier, Laplace, z",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable de déterminer les propriétés d'un système discret ou continu,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'analyser le comportement interne du système en temps et en fréquence,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Comprendre l'interaction entrée sortie du système,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir mettre en équation un système continu ou discret,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir déterminer la réponse impulsionnelle d'un système et sa réponse harmonique,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Savoir déterminer le régime forcé, le régime libre, la fonction de transfert, la stabilité d'un système",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"temps continu et discret, système linéaire, convolution, réponse harmonique, stabilité",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,2,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,2,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,1,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,2,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,2,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
