,,,DEPARTEMENT GE - MATRICE DE COMPETENCES  Ecole / UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Niveau 1 : connaissances et savoir-faire fondamentaux : à l’issue de l’apprentissage, l’étudiant doit être capable d’expliquer les notions de références et d’exécuter les tâches élémentaires en lien avec la compétence ciblée dans le contexte du département.
Evaluations typiques : questions à réponses courtes, questions à choix multiples ou exercices d’application guidés
Niveau 2 : capacités élaborées : à l’issue de l’apprentissage, l’étudiant doit être capable de mettre en oeuvre avec discernement des méthodologies complexes en réponses à des situations problèmes simples, typiques du métier poursuivi.
Evaluations typiques : questions à développement, problèmes ouverts (non guidés)
Niveau 3 : compétences à l'oeuvre : à l’issue de l’apprentissage, l’étudiant, confronté à une situation problème authentique typique du métier poursuivi, doit pouvoir élaborer et mettre en oeuvre une stratégie pour apporter une réponse adaptée, justifiée et nuancée par l’analyse de ses avantages et inconvénients.",,,,COMPETENCES EN SCIENCES POUR L’INGÉNIEUR,,,,,,,COMPETENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,
,,,,,,,Analyser un système (ou un problème) réel ou virtuel ,Exploiter un modèle d'un système réel ou virtuel,Mettre en oeuvre une démarche expérimentale,Concevoir un système répondant à un cahier des charges,Traiter des données ,Communiquer une analyse ou une démarche scientifique,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie","Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images","Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,"Se connaitre, se gérer physiquement et mentalement ","Travailler, apprendre, évoluer de manière autonome ","Interagir avec les autres, travailler en équipe","Faire preuve de créativité, innover, entreprendre ",Agir de manière responsable dans un monde complexe ,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",Travailler dans un contexte international et interculturel ,,,
,,,,,Crédits,Nbe h.,,,,,,,,,,,,,,,,,,,,,,,,,,
,3GE ,UE31,"Signaux, Systèmes et Mathématique des Transformées ",SSMT,4,66,,,,,,,,,,,2,,2,,,,,,,,,,,,,
,Sem 5,,Télécommunications 1,TC1,2,31,2,1,,1,M,,,2,2,1,,1,,,,,,,,,,,,,,
,,,Mathématiques 1 ,MA1,4,58,,,,,,,,,,,2,,,1,,,,,M,,,,,,,
,,UE32,Electronique de puissance et Electrotechnique 1,ETEP1,4,60,,,,,,,,,2,2,,,,,,,,,,,M,,,,,
,,,Electronique et Capteurs 1 ,EC1,4,72,2,2,1,,M,M,,2,1,,,,,,,,,,,,M,,,,,
,,,Informatique 1 ,IF1,4,59,2,2,2,2,M,2,,2,,,,2,,2,,,,,M,,,M,,,,
