,,,NOUVELLE MATRICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DEPARTEMENT GE - MATRICE DE COMPETENCES,,,,COMPETENCES EN SCIENCES POUR L’INGÉNIEUR,,,,,,COMPETENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,
,,,"Niveaux :
- 1 : sensibilisation
- 2 : appropriation
- 3 : maîtrise",,,,"Résoudre les questions posées par un problème 
scientifique en étant conscient des limites ",Développer une démarche expérimentale ,Mettre en œuvre une démarche scientifique ,"Mettre en perspective les connaissances scientifiques avec 
l'évolution des savoirs et des technologies","Identifier, formuler et résoudre un problème d'ingénierie complexe ",,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie","Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images","Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,"Se connaitre, se gérer physiquement et mentalement ","Travailler, apprendre, évoluer de manière autonome ","Interagir avec les autres, travailler en équipe","Faire preuve de créativité, innover, entreprendre ",Agir de manière responsable dans un monde complexe ,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",Travailler dans un contexte international et interculturel ,,,
,,,,,Crédits,Nbe h.,,,,,,,,,,,,,,,,,,,,,,,,,
,3GE ,UE31,"Signaux, Systèmes et Mathématique des Transformées ",SSMT,4,66,,,,,,,,,,1 2,,2,1,,,,,,,,,,,,
,Sem 5,,Télécommunications 1,TC1,2,31,,,,,,,2,2,1,,1 2,,,,,,,,,,,,,,
,,,Mathématiques 1 ,MA1,4,58,,,,,,,,,,2,,,1,,,,,,,,,,,,
,,UE32,Electronique de puissance et Electrotechnique 1,ETEP1,4,60,,,,,,,1,2,1 2,,,,,,,,,,,,,,,,
,,,Electronique et Capteurs 1 ,EC1,5,72,,,,,,,2,1,,,,,,,,,,,,,,,,,
,,,Informatique 1 ,IF1,4,59,,,,,,,2,,,,1 2,,2,,,,,,,,,,,,
,,UE33,Humanités 1,HU1,3,32,,,,,,,,,,,,,,,,,2,2,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3GE ,UE34,Automatique 1 ,AU1,5,72,,,,,,,2,,2,2 1,2,2 1,,,,,,,,,,,,,
,Sem 6,,Transferts Thermiques,TT,2,32,,,,,,,1,2,1,,1,,,,,,,,,,,,,,
,,,Mathématiques 2,MA2,5,58,,,,,,,,,,2,,,1,,,,,,,,,,,,
,,UE35,Electronique de puissance et Electrotechnique 2,ETEP2,4,78,,,,,,,2,2,2,,,1,,,,,,,,,,,,,
,,,Electronique et Capteurs 2,EC2,6,88,,,,,,,2,,,,2,1,,,,,,,,,,,,,
,,,Informatique 2,IF2,2,31,,,,,,,,,,1 2,2,,2,1,,,,,,,,,,,
,,UE36,Humanités 2,HU2,3,35,,,,,,,,,,,,,,,,,2,2,,1,2,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4GE,UE41,Automatique 2 Continue,AU2,3,50,,,,,,,2,,2,2,3,3,2,,,,,,,,,,,,
,Sem 7-8,,Automatique 3 SED,AU3,3,49,,,,,,,,,3,3,,3,2,2,,,,,,,,,,,
,,,Mathématiques 3,MA3,3,40,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,Traitement du signal ,TS,3,38,,,,,,,,,,2,2,,1,,,,,,,,,,,,
,,UE42,Electronique de puissance et Electrotechnique 3,ETEP3,3,50,,,,,,,3,3 2,2 3,,,1,,,,,,,,,,,,,
,,,Télécommunications 2,TC2,4,74,,,,,,,3,2,2,,2,,,2,,,,,,,,,,,
,,,Informatique 3,IF3,3,34,,,,,,,,,,3,,,3,2,,,,,,,,,,,
,,,Projet 1,PRT,3,7,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,,UE43,Humanités 3,HU3,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4GE,UE44,Stage,,30,,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,Sem 7-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5GE ,UE51,Informatique 4,IF4,4,46,,,,,,,,,,,,,3 2,3,,,,,,,,,,,
,Sem 9,,Automatique 4,AU4,4,50,,,,,,,2,,3 2,3,3,3,2,,,,,,,,,,,,
,,,Mathématiques 4,MA4,3,40,,,,,,,,,,2,,,,,,,,,,,,,,,
,,UE52,Télécommunications 3,TC3,2,24,,,,,,,2,,,,2,,,2,,,,,,,,,,,
,,,Electronique et Capteurs 3,EC3,2,38,,,,,,,3 2,2,,,2,,3,2,,,2,2,,,,,,,
,,,Travaux Pratiques Transversaux ,TPTR,3,64,,,,,,,3,2,3,3,3,3,3,2,,,,,,,,,,,
,,UE53,Humanités 4,HU4,2,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,UE54,Option C2E,Option,12,180,,,,,,,2,3,3,,,2,,,,,2,2,2,,2,,,,
,,,Option TDSI,Option,12,180,,,,,,,,,,3,3,,3,,,,,,,,,,,,
,,,Option SEI,Option,12,180,,,,,,,3,3,,,,,,,,,2,2,,,,,,,
,,,Option ISIP,Option,12,180,,,,,,,,,2,3,,3,3,2,,,,,,,,,,,
,,,Option CCSA,Option,12,180,,,,,,,1,,3,,3,3,,,,,,,,,,,,,
