,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,TC1,Télécommunications 1,,"Propagation filaire et Hertzienne
",,,,,,,,,UE31,Intitulé de l'EC,TC1,Télécommunications 1,,"Propagation filaire et Hertzienne
",,,,,
,,Crédits,2,,,,,,,,,,,,,Crédits,2,,,,,,,,
,,Nbe h.,31,,,,,,,,,,,,,Nbe h.,31,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Conception et analyse de lignes de transmission,,,,,,,,,,,,,COMPETENCES,,,,,,,,,,
,Capacité,Conception de dispositifs d'adaptation,,,,,,,,,,,,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,Capacité,Design et analyse de lignes de transmission,,,,,,,,,
,Connaissance,"Différents régimes: sinuisoidal, impulsionnel",,,,,,,,,,,,,Capacité,Design de dispositifs d'adaptation,,,,,,,,,
,Connaissance,"Différents régimes d'ondes: progressive, stationnaire, etc.",,,,,,,,,,,,,Connaissance,Différents types de lignes de transmission,,,,,,,,,
,Connaissance,Abaque de Smith,,,,,,,,,,,,,Connaissance,"Différents régimes: sinuisoidal, impulsionnel",,,,,,,,,
,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,,,,,Connaissance,"Différents régimes d'ondes: progressive, stationnaire, etc.",,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Abaque de Smith,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,
,Capacité,Déterminer les caractéristiques électriques d'une ligne de transmission à partir de ses paramètres physiques,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,
,Connaissance,Calculs des paramètres primaires et secondaires d'une ligne de transmission,,,,,,,,,,,,,Capacité,Déterminer les caractéristiques électriques d'une ligne de transmission à partir de ses paramètres physiques,,,,,,,,,
,Connaissance,Equations des télégraphistes,,,,,,,,,,,,,Connaissance,Différents types de lignes de transmission,,,,,,,,,
