,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,TC2,Télécommunications 2,,Circuits RF & Antennes,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,74,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre des antennes filaires et patch,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Décrire le fonctionnement physique d'une antenne (domaine RF),,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,calculer le diagramme de rayonnement d'une antenne,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Simuler et analyser le fonctionnement électromagnétique et électrique d'une antenne patch ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Ecrire et analyser un bilan de liaison hertzienne,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Types d'antennes, caractéristiques physiques et électriques",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Identifier la structure d'un bilan de liaison hertzienne,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctionnement physique d'une antenne filaire,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Diagramme de rayonnement, directivité, bilan de liaison, champ E et H, adaptation d'impédances",,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en œuvre des circuits radiofréquences,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Caractériser et simuler un amplificateur radiofréquence faible bruit (LNA),,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Caractériser et simuler un oscillateur radiofréquence (VCO),,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Caractériser et simuler un amplificateur de puissance radiofréquence (PA) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Caractériser et simuler un mélangeur radiofréquence (MIXER) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etudier et modéliser des circuits radiofréquences non linéaires via le simulateur ADS d'Agilent Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Dispostifs d'adaptation en puissance RF (types, caractéristiques, techniques d'optimisation)",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Simulations DC, S parameters, Harmonic Balance, LF et Phase Noise",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Caractéristiques électriques des circuits actifs  (DC, petit-signal, bruit, fort-signal)",,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"LNA, PA, MIXER, VCO, stabilité, Rollet, Nyquist, Friis, adaptation, isolation, directivité, IIP3, NF, GSM, UMTS, WIFI, 4G, logiciel ADS ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,,,
