,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,TC2,Télécommunications 2,,Circuits RF & Antennes,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,
,,Nbe h.,74,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,,,Première version du document de synthèse des compétences pour la CTI,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,Relations Composants Circuits - propriétés & caractéristiques (niveau 1/3),,,,,
,Capacité,,,,,,,,,,,,,,Relations Circuits Systèmes propriétés & caractéristiques (niveau 3/3),,,,,
,Connaissance,,,,,,,,,,,,,,Applications & protocoles (niveau 2/3),,,,,
,Connaissance,,,,,,,,,,,,,,Concevoir & développer (niveau 2/3),,,,,
,Connaissance,,,,,,,,,,,,,,Modéliser (niveau 3/3),,,,,
,Mots-clés,,,,,,,,,,,,,,Innover et recherche (niveau 1 ou 2/3),,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,3,,,,,,,,
,Capacité,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,
,Connaissance,,,,,,,,,,,,,,Le but de ce module est d'acquérir les principes de bases des systèmes de communication radiofréquence,,,,,
,Connaissance,,,,,,,,,,,,,,"(RF) c'est-à-dire de l'amplification RF (faible bruit et puissance), la synthèse de fréquence (focalisation sur les",,,,,
,Connaissance,,,,,,,,,,,,,,"oscillateurs), le mélange et les antennes.",,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROGRAMME,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,2,,,"Les amplificateurs : stabilité, gain, linéarité, figure de bruit, ...",,,,,
,Capacité,,,,,,,,,,,,,,"Les oscillateurs : bande d'accord, bruit de phase, pulling, pushing, ...",,,,,
,Capacité,,,,,,,,,,,,,,"Les mélangeurs : isolation entre ports, directivité, linéarité, bruit, ...",,,,,
,Capacité,,,,,,,,,,,,,,Introduction sur les architectures des récepteurs et d'émetteurs radio et sur les modulations numériques.,,,,,
,Connaissance,,,,,,,,,,,,,,"Les antennes filaires : principes et applications, caractéristiques, bilan de liaison, groupement d'antennes ; les",,,,,
,Connaissance,,,,,,,,,,,,,,"antennes patch, ...",,,,,
,Connaissance,,,,,,,,,,,,,,Travaux Pratiques :,,,,,
,Mots-clés,,,,,,,,,,,,,,CAO / Test : amplificateur faible bruit et Front end radio (2 x 4h),,,,,
,,,,,,,,,,,,,,,CAO / Test : conception d'antennes patch pour système WiFi sous ADS (1 x 4h),,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,2,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
