,,,,,,,,,,,,,,,,,,,,
,UE52,Intitulé de l'EC,TC3,Télécommunications 3,,Réseaux et Protocoles,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,
,,Nbe h.,24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,2,C,,Première version du document de synthèse des compétences pour la CTI,,,,,
,Capacité,Choisir des protocoles,,,,,,,,,,,,,,,,,,
,Capacité,Proposer et analyser une architecture réseau simple,,,,,,,,,,,,,,,,,,
,Connaissance,Introduction aux protocoles - Normalisation et couches OSI,,,,,,,,,,,,,,,,,,
,Connaissance,Adressage et protocole IP - Protocoles TCP/UDP,,,,,,,,,,,,,,,,,,
,Connaissance,Routage et protocoles RIP / OSPF,,,,,,,,,,,,,,,,,,
,Mots-clés,Protocoles - Adressage - Routage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,,,
Compétence 2,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,2,C,,,,,,,
,Capacité,Etablir d'un plan d'adressage,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,
,Capacité,Configurer des équipements réseau,,,,,,,,,,,,,L'objectif de ce cours est d'apporter un point de vue général sur l'ensemble des concepts et pratiques dans,,,,,
,Capacité,Mettre en oeuvre des protocoles de routage,,,,,,,,,,,,,les réseaux de communications.,,,,,
,Connaissance,Infrastructure passive : système de câblage / baie de brassage,,,,,,,,,,,,,,,,,,
,Connaissance,"Infrastructure active : Switch, Routeurs , Stations, Serveurs",,,,,,,,,,,,,CAPACITES :,,,,,
,Connaissance,Adressage et protocole IP,,,,,,,,,,,,,,,,,,
,Mots-clés,"Switch, Routeurs, Protocoles, Adressage",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en œuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,2,C,,,,,,,
,Capacité,Analyser les flux dans les transmissions,,,,,,,,,,,,,,,,,,
,Capacité,Interpréter des champs protocolaires,,,,,,,,,,,,,,,,,,
,Capacité,Configurer des équipements réseau,,,,,,,,,,,,,,,,,,
,Connaissance,Infrastructure passive : système de câblage / baie de brassage,,,,,,,,,,,,,PROGRAMME :,,,,,
,Connaissance,"Infrastructure active : Switch, Routeurs , Stations, Serveurs",,,,,,,,,,,,,,,,,,
,Connaissance,"Fonctionnalités : Trunk, Vlan , Plan adressage IP, VPN, etc.",,,,,,,,,,,,,,,,,,
,Connaissance,Signaux et supports dans les transmissions,,,,,,,,,,,,,,,,,,
,Mots-clés,"Champs protocolaires, Analyse de flux, Adressage,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
