,,,,,,,,,,,,,,,,,,,,
,UE52,Intitulé de l'EC,TC3,Télécommunications 3,,Réseaux et Protocoles,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,
,,Nbe h.,24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,,,Première version du document de synthèse des compétences pour la CTI,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,Relations Circuits Systèmes propriétés & caractéristiques (niveau 2/3),,,,,
,Capacité,,,,,,,,,,,,,,Applications & protocoles (niveau 3/3),,,,,
,Connaissance,,,,,,,,,,,,,,Concevoir & développer (niveau 2/3),,,,,
,Connaissance,,,,,,,,,,,,,,Modéliser (niveau 2/3),,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FICHE ECTS ACTUELLE,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,,,,,,,,
,Capacité,,,,,,,,,,,,,,OBJECTIFS RECHERCHÉS PAR CET ENSEIGNEMENT,,,,,
,Capacité,,,,,,,,,,,,,,L'objectif de ce cours est d'apporter un point de vue général sur l'ensemble des concepts et pratiques dans,,,,,
,Capacité,,,,,,,,,,,,,,les réseaux de communications.,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,PROGRAMME,,,,,
,Connaissance,,,,,,,,,,,,,,Ce cours est organisé en 3 parties,,,,,
,Mots-clés,,,,,,,,,,,,,,Partie 1 : Concepts de base,,,,,
,,,,,,,,,,,,,,,Introduction et généralités sur les réseaux,,,,,
Compétence 3,,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,2,,,Signaux et supports de transmission,,,,,
,Capacité,,,,,,,,,,,,,,Modèle d'architecture OSI,,,,,
,Capacité,,,,,,,,,,,,,,"Concepts de base dans un réseau (Contrôle de flux, routage , Adressage, etc.)",,,,,
,Capacité,,,,,,,,,,,,,,"Etude de protocoles de niveau 2 : HDLC, ETHERNET",,,,,
,Connaissance,,,,,,,,,,,,,,Etude de protocoles de niveau 3 : IP,,,,,
,Connaissance,,,,,,,,,,,,,,Etude de protocoles de niveau 4 : TCP/UDP,,,,,
,Connaissance,,,,,,,,,,,,,,Partie 2 : réseaux d'entreprise,,,,,
,Mots-clés,,,,,,,,,,,,,,Infrastructure passive : système de câblage,,,,,
,,,,,,,,,,,,,,,"Infrastructure active : Switch, Routeurs , Stations, Serveurs",,,,,
,,,,,,,,,,,,,,,"Offre du marché : hébergement, transport, transit Internet, cloud",,,,,
,,,,,,,,,,,,,,,Paysage des opérateurs : des opérateurs grands publics aux opérateurs pro régionaux,,,,,
,,,,,,,,,,,,,,,Visite d'un datacenter: ELB/Netissime,,,,,
,,,,,,,,,,,,,,,"Fonctionnalités : Trunk, Vlan , Plan adressage IP, VPN, etc.",,,,,
,,,,,,,,,,,,,,,Gestion du projet,,,,,
,,,,,,,,,,,,,,,Partie 3 ?,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
