,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,TS,Traitement du Signal,,,,,,,,,,,,,,UE41,Intitulé de l'EC,TS,Traitement du Signal,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,Crédits,3,,,,,,
,,Nbe h.,38,,,,,,,,,,,,,,,,Nbe h.,38,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,NOUVELLE FICHE ECTS ,,,,,,,,
Compétence 1,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,2,C,,,,,,,,,,,
,Capacité,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,,,,,,,,,,COMPETENCES,,,,,,,,
,Capacité,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,,,,,,,,,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,
,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,,,,,,,,,,Capacité,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,
,Connaissance,Corrélation et densité spectrale.,,,,,,,,,,,,,,,,Capacité,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,
,Connaissance,Fonctions d’approximation des filtres linéaires invariants,,,,,,,,,,,,,,,,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,Connaissance,Corrélation et densité spectrale.,,,,,,,
,,,,,,,,,,,,,,,,,,Connaissance,Fonctions d’approximation des filtres linéaires invariants,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,2,C,,,,,,,,,,,
,Capacité,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,
,Capacité,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,,,,,,,,,,Capacité,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,
,Connaissance,Structures des filtres analogiques actifs,,,,,,,,,,,,,,,,Capacité,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,
,Connaissance,Structures des filtres numériques,,,,,,,,,,,,,,,,Connaissance,Structures des filtres analogiques actifs,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,Connaissance,Structures des filtres numériques,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,
Compétence 1,,"Etre capable d'analyser, formaliser ou modéliser ",,,,,,,,,,,,1,C,,,"Transformée de Fourier, Laplace et Z.",,,,,,,,
,Capacité,Modéliser et dimensionner une chaîne d'acquisition et de restitution des signaux analogiques et numériques,,,,,,,,,,,,,,,,Echantillonnage et restitution des signaux analogiques.,,,,,,,,
,Capacité,Modéliser un problème de filtrage et synthétiser un filtre analogique ou numérique,,,,,,,,,,,,,,,,Introduction aux processus aléatoires pour le traitement du signal.,,,,,,,,
,Connaissance,"Relations entre les Transformée de Fourier, Laplace et Z",,,,,,,,,,,,,,,,Corrélation et densité spectrale.,,,,,,,,
