,,,,,,,,,,,,,,,,,,,,,,,,
,UE34,Intitulé de l'EC,TT,Transferts Thermiques,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,32,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Comprendre et dialoguer avec un spécialiste des transferts thermiques,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Choisir des matériaux pour le contrôle thermique de systèmes électriques/électroniques,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Résoudre un problème simple de transfert de chaleur ,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principales propriétés thermophysiques mises en jeux dans un problème de transfert de chaleur,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modes de transferts de chaleur et ordre de grandeur,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Technologie de refroidissement passifs et actifs de systèmes électriques/électroniques,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Conductivité thermique, diffusivité thermique, Chaleur spécifique, Effusivité, Résistance de contact.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Comprendre et dialoguer avec un spécialiste des transferts thermiques,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Prendre en compte les contraintes thermiques dans le choix des composants,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Prendre en compte les contraintes thermiques dans la conception d'une carte électronique,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modèlisation thermique de composants,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modes de transferts de chaleur et ordre de grandeur,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Technologie de refroidissement passifs et actifs des composants,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Température de jonction, Résistance thermique jonction_boitier, Résistance thermique jonction_air.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
