,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,IF0,Informatique industrielle_Remise à niveau,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Technologie des composants,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,Technologie composants,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Etre capable de formaliser et simplifier des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions en logique combinatoire avec des composants standards,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de formaliser et simplifier des systèmes en logique séquentielle,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et analyser des systèmes en logique séquentielle,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Systèmes de numérations, bases",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Eléments constitutifs des systèmes logiques séquentiels,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Opérateurs logiques, fonctions booléennes, Bascules, compteurs, ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Mettre en œuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Concevoir et développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Etre capable d'appréhender les outils informatiques de l'ingénieur,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de développer des logiciels de haut niveau,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Syntaxe élémentaire du langage C/C++,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Algorithmes standards  (tri, manipulation de tableaux et matrices)",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"langage C/C++, compilation, fonction, passage de paramères",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 8,,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,,,,,,,,,,,,,
