,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,TC0,Télécommunications et réseaux_Remise à niveau,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,1,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,
Sous compétence,,Mettre en œuvre des circuits de communication série asynchrone,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre une liaison série asynchrone,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Appréhender les appects physiques des transmissions numériques,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Caractéristiques du format asynchrone de transmission,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Aspects physique, contrôle de flux",,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"format asynchrone, débit utile/nominal, aspect physique (TTL, RS 232, 422, 485), contrôle de flux",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sous compétence,,Mettre en œuvre des systèmes communiquant en TCP/ IP,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Appréhender le rôle des différentes couches du modèle réseau TCP/IP,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser un plan d'adressage IP,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Caractéristiques d'une trame Ethernet,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Modèles OSI et TCP/IP, Encapsulation des données, Principaux protocoles réseaux",,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Adressage IP, masques, classes réseau, …",,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Modèle TCP/IP, principaux protocoles Réseaux (ARP, IP, UDP, TCP, ...), Analyse de trames, VLAN, ...",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
