,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,TC21,Télécommunications 2,,Antennes,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,42,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,3,C,,,,,,,,,,
,Capacité,Décrire le fonctionnement physique d'une antenne (domaine RF),,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser une fiche technique d'antenne,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer le diagramme de rayonnement d'une antenne,,,,,,,,,,,,,,,,,,,,,
,Capacité,Simuler et analyser le fonctionnement électromagnétique et électrique d'une antenne ,,,,,,,,,,,,,,,,,,,,,
,Capacité,Ecrire et analyser un bilan de liaison hertzienne,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principes de base du rayonnement,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Types d'antennes, caractéristiques physiques et électriques",,,,,,,,,,,,,,,,,,,,,
,Connaissance,Identifier la structure d'un bilan de liaison hertzienne,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctionnement physique d'une antenne,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Diagramme de rayonnement, directivité, polarisation, bilan de liaison, champ E et H, adaptation d'impédances, bande passante",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,3,C,,,,,,,,,,
,Capacité,Concevoir et optimiser une antenne à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner un bilan de liaison,,,,,,,,,,,,,,,,,,,,,
,Capacité,Optimiser le rendement d'une transmission radio,,,,,,,,,,,,,,,,,,,,,
,Capacité,Tenir compte de l'environnement de travail d'une antenne,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Couverture et planification radio,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Sensibilité, dynamique d'un système d'émission-réception RF",,,,,,,,,,,,,,,,,,,,,
,Connaissance,Type de polarisation et impact sur le rendement,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Architecture générale des systèmes d'émission et de réception,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"CAO Antenne, Logiciel ADS et EZNEC, Antenne, sensibilité, bruit thermique, figure de bruit",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,2,M,,,,,,,,,,
,Capacité,Organiser et partitioner un travail de conception et d'analyse,,,,,,,,,,,,,,,,,,,,,
,Capacité,Confronter théorie et simulation,,,,,,,,,,,,,,,,,,,,,
,Capacité,Respecter un cahier des charges et justifier ses choix,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Apprentissage par projets - Etude de cas,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Utilisation d'outils spécifiques,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Lecture et analyse d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Cahier des charges, comparaison théorie/simulation, analyse",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
