,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE35,Intitulé de l'EC,AU1,Automatique 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,,,2,C,,,,,,,,,,,,,,,,
,Capacité,Etre capable de mettre en place un régulateur PI ou PID à partir d'un système électronique analogique ou numérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître le comportement d'éléments de base utilisés pour la commande (mécanique, électrique et pneumatique)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Modélisation, Actionneurs, Pré-actionneurs Régulateurs, PI, PID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,2,C,,,,,,,,,,,,,,,,
,Capacité,Etre capable de rédiger un GRAFCET et un cahier des charges sous forme d'analyse fonctionnelle (GEMMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable de modéliser des systèmes physiques par Bond-Graph, équations différentielles, fonctions de transfert et représentations d'état",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable d'analyser des systèmes linéaires, schémas blocs, en boucle ouverte / boucle fermée",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable d'analyser la stabilité : carte des pôles et zéros, Critère algébrique (Routh), Lieu d'Evans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de régler les paramètres d'un correcteur par calcul ou éxpérimentalement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître des généralités sur l'Automatique et les technologies mécatroniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les modes de représentations et d'analyses temporelle et fréquentielle de systèmes du premier et du second ordres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les critères de stabilité des systèmes bouclés : Critère de Nyquist, Critère du revers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les structures élémentaires des correcteurs : P, PI, PD, avance de phase, retard de phase, PID, PID filtré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"GRAFCET, GEMMA, Automate Programmable Industriel, Boucle ouverte/Boucle fermée, Asservissement, Régulation, Stabilité, Correcteur PID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Concevoir et  développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,1,C,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'utiliser les fonctions de base du logiciel Unity pour mettre en place une commande dans un automate programmable industriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'utiliser Matlab et Simulink pour faire des simulations temporelles simples et des analyses fréquentielles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les bases de certains outils logiciels industriels d'Automatique : Matlab-Simulink, Unity Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les notions de base de la norme IEC 61131-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Programmation d'automates, Simulations temporelles et fréquentielles, Matlab, Simulink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,1,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,1,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
