,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,AU2,Automatique 2,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,3,C,,,,,,,,,,,,,,
Sous compétence,,Connaître les différentes notions de robustesse d’un système linéaire ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir calculer les différentes marges de stabilité d'un correcteur,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'analyser la robustesse d'un correcteur,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître la définition des différentes fonctions de sensibilité,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir interpréter ces fonctions de sensibilité,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Robustesse, marge de module, marge de retard, fonctions de sensibilité",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sous compétence,,Connaitre les éléments de base pour la synthèse échantillonnée de correcteurs numériques,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir la différence entre synthèse continue et synthèse échantillonnée d'un correcteur,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir discrétiser un processus continu de base,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir analyser la stabilté d'un système échantillonné,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir traduire un cahier des charges en asservissement et en régulation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Fonction de transfert échantillonnée, stabilité, Schéma échantillonné",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sous compétence,,Savoir effectuer la synthèse et le réglage de correcteurs numériques,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir effectuer la synthèse par placement de pôles et de zéros : PI, PID filtré numérique, Dead-Beat",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir  effectuer la synthèse d'un correcteur pour des processus avec des zéros instables, des retards, des saturations… ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Comprendre le fonctionnement d'une commande prédictive fonctionnelle,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir synthétiser une commande par modèle interne ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir synthétiser une commande RST ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"PID numérique, Dead-Beat, PFC, Modèle interne, RST ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence2,,Concevoir et  développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,2,C,,,,,,,,,,,,,,
,Connaissance,Connaître les fonctions de base de Matlab/Simulik en continu et en discret,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir simuler un système asservi échantillonné avec Matlab/Simulink ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir traduire un correcteur numérique par des équations de récurrence ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir donner un algorithme d'une commande numérique ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Matlab/Simulink, Equation de récurrence, Algorithme de commande",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,2,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,2,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,M,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,M,,,,,,,,,,,,,,,,
