,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE36,Intitulé de l'EC,EC2,Electronique et Capteurs 2,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,4,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,70,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre des amplificateurs opérationnels et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Sélectionner, dimensionner et interfacer des montages à amplificateurs opérationnels pour répondre à un cahier des charges",,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Identifier les blocs constitutifs dans un circuit complexe à amplificateurs opérationnels et quantifier leurs performances ,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser et appliquer une documentation technique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Architecture et principe de fonctionnement d’amplificateurs opérationnels,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Approximations courantes du fonctionnement d'un amplificateur opérationnel,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Circuits fondamentaux à base d'AOPs,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Limites et défauts de l'amplificateur opérationnel réel,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Approche système, amplificateurs différentiels idéaux et réels, comparateurs, astables et monostables, oscillateurs, amplifications, filtres actifs, amplificateurs différentiels, analyse de datasheet",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,
,Sous compétence,"Sélectionner, concevoir et réaliser des capteurs et leur interfaçage",,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Choisir un capteur adapté à une application,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Dimensionner un capteur et/ou son interface pour une application,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Evaluer les incertitudes de mesure et le bruit dans une chaîne électronique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Types de capteurs, leurs principes physiques et leurs caractéristiques statiques et dynamiques ",,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Topologie élémentaire d'une interface d'acquisition et les éléments la constituant,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Paramètres de base de l’acquisition d’un signal,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Chaîne électronique, capteurs, interfaçage de capteurs, mesure et incertitudes, conversion analogique-numérique, capteurs de température, bruit",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,1,C,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre l'amplificateur opérationnel en fonctionnement linéaire,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Définir le type de contre-réaction,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Quantifier l'impact d'un type de contre-réaction sur les caractéristiques d'un bloc électronique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Types de contre-réaction et leurs conséquences ,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Application des principes de contre-réaction aux amplificateurs opérationnels,,,,,,,,,,,,,,,,,,,,,,,,
