,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE36,Intitulé de l'EC,IF1,Informatique industrielle 1,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions de multiplexage et démultiplexage,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Algèbre booléenne, Opérateurs et fonctions logiques de base, leurs propriétés",,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Fonctions séquentielles et leurs synthèses,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Technologie des composants,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,Technologie composants,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,,
,Capacité,Etre capable de formaliser et simplifier des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et d'analyser des systèmes en logique combinatoire,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de réaliser des fonctions en logique combinatoire avec des composants standards,,,,,,,,,,,,,,,,,,,,,,,,
