,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE37,Intitulé de l'EC,SHS2,Communication - Management de projet - Développement durable,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,M,,,,,,,,,,,,
Management de projet,Capacité,"Appréhender les différents éléments liés au temps, et financiers d’un projet",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les différents composantes et interactions dans une gestion de projet,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les outils de résolution de problème,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Mesure des résultats attendus et analyse,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,M,,,,,,,,,,,,
Management de projet,Capacité,"Définir un objectif, élaborer une démarche et mettre en œuvre un plan d’actions",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable de définir et mettre en place un tableau de bord avec des indicateurs adaptés pour le suivi d’un projet (suivi coûts/délais/investissements…).,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir définir un objectif, élaborer une démarche et mettre en œuvre un plan d’actions tout en assurant le suivi,",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Les facteurs clés de réussite, l’analyse des risques / ressources humaines et plan de communication ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en œuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
