,,,,,,,,,,,,,,,,,,,,,,,,,
,UE35,Intitulé de l'EC,TC1,Télécommunications 1,,"Propagation filaire et Hertzienne
",,,,,,,,,,,,,,,,,,,
,,Crédits,1,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Mettre en oeuvre des composants électroniques analogiques et/ou numériques et identifier leur fonction au sein d'un montage,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Conception et analyse de lignes de transmission,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Conception de dispositifs d'adaptation,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Différents régimes: sinuisoidal, impulsionnel",,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Différents régimes d'ondes: progressive, stationnaire, etc.",,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Abaque de Smith,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Mettre en œuvre les propriétés physiques des matériaux pour le domaine du génie électrique,,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Déterminer les caractéristiques électriques d'une ligne de transmission à partir de ses paramètres physiques,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Calculs des paramètres primaires et secondaires d'une ligne de transmission,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Equations des télégraphistes,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"tangente de pertes, affaiblissement, vitesse de phase et de groupe",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,1,C,,,,,,,,,,,,
,Capacité,Savoir évaluer le transfert de puissance sur une ligne et entre des composants hautes fréquences,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Ondes de puissance, coefficients de réflexion/transmission",,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,paramètres S,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,,,,,,,,,,,
,Capacité,Utilisation d'outils de simulation radio-fréquences,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Manipulation des échelles décibels,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Formalisme des paramètres S d'un système,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Outils de mesure hautes fréquences,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,2,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,1,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,1,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,2,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,3,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,2,M,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
