,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE46,Intitulé de l'EC,AU4,Automatique Avancé,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,,,,
COMPETENCES SPECIFIQUES A LA SPECIALITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Capacité,Extraire une vue d'ensemble schématique du transfert d'énergie dans un système pluridisciplinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Avoir une vue système des interconnexions entre éléments de stockage, de conversion et de transformation de l'énérgie ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Transférer une partie de ces connaissances sur les systèmes électriques à des systèmes hydrauliques, pneumatiques, mécaniques ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Appréhender le principe de la causalité dans l'étude des systèmes avec une approche énergétique (Bond-Graph),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaissance sur les composants d'un système pluridisciplinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaissance transversale : Electricité et Fluid Power et Mécatronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Système pluridisciplianire, Mécatronique",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Spécifier, modéliser et concevoir les méthodes et algorithmes pour le traitement et la gestion de l'information véhiculée par les signaux et les images",,,,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Capacité,Modéliser d'un système pluridisciplinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Obtenir un modèle linéaire autour d'un point de fonctionnment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Analyser le modèle linéaire en terme de stabilité, commandabilité et observabilité",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître la modélisation système,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les notions de stabilité, commandabilité et observabilité",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Modélisation, Analyse, Stabilité, Commandabilité, Observabilité",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,3,C,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre expérimentalement le contrôle d’un système continu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre des stratégies de commande sur des cartes de prototypage rapide de lois de commande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre des capteurs logiciels (observateurs) sur des cartes de prototypage rapide de lois de commande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Identifier des systèmes physiques à partir de mesures expérimentales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système continu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les pôles d'un système continu et effectuer du placement de pôles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Synthèser une commande par retour d'état,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sous compétence,Mettre en oeuvre les étapes permettant la conception d’un système pluridisciplinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Savoir utiliser des cartes de protypage rapide de lois de commande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
