,,,,,,,,,,,,,
,UE55,Intitulé de l'EC,PFE2,PROJET DE FIN D'ETUDE 2,,,,,,,,,
,,Crédits,20,,,,,,,,,,
,,Nbe h.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 1,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,2,C
,Capacité,"Etre capable de travailler avec différents services ou sur plusieurs affaires en respectant l'organisation, les délais et les contraintes de chacun.",,,,,,,,,,,
,Capacité,Etre capable de chiffrer /budgeter/estimer les coûts en autonomie,,,,,,,,,,,
,Mots-clés,"Chiffrage d'affaire, adaptabilité",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome",,,,,,,,,,2,C
,Capacité,Pilotage d'un projet en autonomie avec réalisation du découpage en sous tâche et élaboration d'un Gantt.,,,,,,,,,,,
,Mots-clés,"Gestion de projet, diagramme de Gantt",,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,C
,Capacité,Etre capable d'animer une réunion en autonomie,,,,,,,,,,,
,Capacité,Savoir mobiliser les acteurs pour faire aboutir son projet,,,,,,,,,,,
,Mots-clés,"aniation réunion, mobilisation acteurs",,,,,,,,,,,
,,,,,,,,,,,,,
COMPÉTENCES SPECIFIQUES DE LA SPECIALITE,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compétence 4,,Mettre en œuvre ses compétences scientifiques et technologiques dans le domaine de l'EEAIIT dans un cadre industriel et appliqué à des problématiques réelles en conduisant les étapes du cycle de conception ,,,,,,,,,,,C
,Capacité,Etre capable de concevoir ou mettre en oeuvre un système électrique en comprenant les enjeux de l'installation complète.,,,,,,,,,,,
,Capacité,Intégrer les besoins des autres corps d'ingéniérie.,,,,,,,,,,,
,Capacité,Participer à la mise en œuvre complète du cycle en V,,,,,,,,,,,
,Mots-clés,"cycle en V, système électrique",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
