CODE UE,INTITULE
GI-3-AUTOM-S1,Automatique
GI-3-MOI-S1,Méthodes et outils d'ingénierie industrielle
GI-3-INFO-S1,Informatique
GI-3-MECA-S1,Mécanique
GI-3-HU EPS-S1,Humanités et Education sportive
GI-3-AUTOM-S2,Automatique
GI-3-INFO-S2,Informatique et optimisation
GI-3-MECA-S2,Mécanique
GI-3-HU EPS -S2,Humanités et Education sportive
GI-4-AUT1-S1,Automatique
GI-4-GP SIM-S1,Gestion de production et des flux
GI-4-HU EPS-S1,Humanités et Education sportive
GI-4-INFO-S1,Informatique
GI-4-PCO-S1,Projets Collectifs
GI-4-GOP-S2,Gestion et Optimisation de la Production
GI-4-PEP-S2,Pilotage et performance
GI-4 HU EPS-S2,Humanités et Education sportive
GI-4-PCO-S2,Projets collectifs
GI-4-STI-S2,Stage industriel
GI-5-ENTR-S1,Management de l'entreprise
GI-5-TAI 1A-S1,Techniques Avancées de l'Ingénieur 1A
GI-5-PRI 1A-S1,Projets Industriels 1A
GI-5-EPS-S1,Humanités et Education sportive
GI-5-PFE-S2,Projet de Fin d'Etudes
GI-5-R&D1-s1,Optimisation de la chaîne logistique dans l'industrie 4.0 
GI-5-TAI 2A-S1,Techniques Avancées de l'Ingénieur 2A
GI-5-PRI 2A-S1,Projets Industriels 2A
