UE : GI-3-HU EPS-S1,,,,,,,
EC : GI-3-COM-S1,"Théâtre, sciences humaines et communication",,,,,,
ECTS,1,,,,,,
Nbre H,16,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,2
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Identifier ses modes de fonctionnement (27),,"Les grandes notions de la pratique théâtrale pour une prise de parole en public (regard, corps, voix, argumentation) (27,28,29,30)",,,,,
 Donner du sens à ses apprentissages (27),,,,,,,
 Mobiliser ses ressources en s'adaptant à différentes situations (28),,,,,,,
 Acquérir par soi-même de nouvelles compétences en allant rechercher les ressources nécessaires (28),,,,,,,
" Exercer son esprit critique, penser par soi-même (28)",,,,,,,
" Communiquer de manière appropriée (6,29)",,,,,,,
" Situer son discours, original, par des références explicitées (29)",,,,,,,
 Communiquer de manière non verbale (29),,,,,,,
" S'intégrer dans un groupe, se positionner, construire une relation dynamique au groupe (20,29)",,,,,,,
" S'engager dans un projet collectif (20,29)",,,,,,,
" Mobiliser ses acquis et puiser dans divers domaines pour produire une création originale, artistique (30)",,,,,,,
" Problématiser, organiser et mener une recherche en sciences humaines (1,30)",,,,,,,
 Pour les groupes d'anglais A et B : Communiquer en langue étrangère (33),,,,,,,
 Intégrer la diversité culturelle dans un travail en groupe (33),,,,,,,
