UE : GI-3-MECA-S2,,,,,,,
EC : GI-3-INS-S2,Ingénierie Systèmes,,,,,,
ECTS,1,,,,,,
Nbre H,10,,,,,,
,,,,,,,Niveau de la compétence
,,,,,,,
,,,,,,,
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,C
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,M
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,M
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,M
,Compétence 31,Agir de manière responsable dans un monde complexe ,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Modéliser un système (1,3,5,8)",,"Connaître l'Ingénierie Système (3,5,8)",,,,,
,,"Connaître ses outils (SysML) (3,5,8)",,,,,
