UE : GI-3-MOI-S1,,,,,,,
EC : GI-3-IOI-S1,Initiation à l'organisation industrielle,,,,,,
ECTS,1,,,,,,
Nbre H,20,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,C
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,C
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Découvrir une méthodologie de résolution de problème autour d'un cas logistique (1,5)",,"Phases de résolution de problème : poser le problème, identifier les origines, trouver des solutions, les mettre en application et vérifier que les objectifs annoncés sont atteints (5,16)",,,,,
Mettre en oeuvre les outils de la Qualité en gestion de projet (16),,"Outils de la qualité : QQOQCP, feuille de relevé, digrammes, pareto, brainstorming, Ishikawa, matrice de vote (1,5,16)",,,,,
Découvrir les différentes phases et étapes de résolution(16),,Organisation d'une entreprise,,,,,
Diagnostiquer les performances logistiques et industrielles d'une entreprise (7),,Logique de circulation des flux physiques et d'information et leurs interactions,,,,,
"Analyser les indicateurs de performances (7,3)",,Les causes de ralentissement de flux et les solutions envisageables,,,,,
Identifier les sources de ralentissement de flux et les actions correctives (7),,"Les démarches de progrès PDCA, DMAIC",,,,,
"Dérouler une démarche de progrès PDCA (11,16)",,,,,,,
"Construire une stratégie de développement industriel et commercial (18,19)",,,,,,,
