UE : GI-3-AUTOM-S1,,,,,,,
EC : GI-3-ISL-S1,Introduction aux systèmes linéaire,,,,,,
ECTS,1,,,,,,
Nbre H,14,,,,,,
,,,,,,,Niveau de la compétence
,,,,,,,
,,,,,,,
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,C
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Définir un système à étudier,,La notion de système dynamique continu du premier et du second ordre,,,,,
Caractériser les éléments de structure d'un système,,"Les  systèmes simple entrée et simple sortie dans le domaine de la production mécanique, de la robotique ou des transports. ",,,,,
Déterminer la fonction de transfert globale du système,,,,,,,
Identifier le système,,,,,,,
