UE : GI-3-MECA-S1,,,,,,,
EC : GI-3-MPI-S1,Matériaux pour l'ingénieur,,,,,,
ECTS,3,,,,,,
Nbre H,44,,,,,,
,,,,,,,Niveau de la compétence
,,,,,,,
,,,,,,,
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Décrire et expliquer les principales propriétés mécaniques des grandes classes de matériaux,,Familles de matériaux et principales caractéristiques mécaniques des métaux et des composites,,,,,
Utiliser une méthode de sélection des matériaux pour des applications précises en tenant compte des performances attendues,,Notions sur les céramiques et les polymères,,,,,
,,Rupture des matériaux,,,,,
,,Aide au choix des matériaux (méthode des indices de performance).,,,,,
