UE : GI-3-MECA-S1,,,,,,,
EC : GI-3-PEX-S1,Plan d'expérience ,,,,,,
ECTS,1,,,,,,
Nbre H,14,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,3
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,1
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,M
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,1
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Proposer la planification des essais à conduire (2,3),Réaliser les mesures (7,20)",,Mise en place d'une organisation optimale d'expérimentation (2),,,,,
Construire un outil de calcul pour traiter un plan d'expériences (3),,"Modèle de régression et prédicteur mathématique (2,28)",,,,,
"Analyser les résultats obtenus (facteurs influents et modèle) (3,7)",,"Modèle statistique associé à l'analyse de variance (2,28)",,,,,
"Trouver une condition optimale de réglage (3,16) ",,Mise en œuvre d'un plan d'expériences (16),,,,,
