UE : GI-3-MOI-S1,,,,,,,
EC : GI-3-PRS-S1,Probabilités statistiques ,,,,,,
ECTS,3,,,,,,
Nbre H,44,,,,,,
,,,,,,,Niveau de la compétence
Ingénierie industrielle et supply chain,Compétence 6,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,
,Compétence 8,"Evaluer, prototyper ou simuler un système",,,,,
,Compétence 13,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,
Amélioration continue,Compétence 15,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,
,,,,,,,
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Calculer la probabilité d'un événement complexe, défini à partir d'événements simples ou par dénombrement (13) ",,"Notion de probabilité (6,8,13,15)",,,,,
"Modéliser un phénomène aléatoire en choisissant une loi de probabilité appropriée (6,13)",,Schémas d'analyse combinatoire (13),,,,,
"Calculer et interpréter les principaux indicateurs associés à une variable aléatoire (6,8,13)",,Lois du calcul probabiliste (13),,,,,
"Calculer un risque client / un risque fournisseur en fonction d'une procédure de contrôle qualité (6,13,15)",,"Notion de probabilités conditionnelles et d'événements indépendants (6,8,15)",,,,,
"Estimer les paramètres d'une population statistique à partir d'un échantillon de données (estimation ponctuelle et par intervalle de confiance) (6,8) ; ",,"Notion de variable aléatoire (6,13)",,,,,
"Mettre en oeuvre un test statistique pour valider (ou non) une hypothèse relative à une population (6,8)",,"Principaux indicateurs de variables aléatoires (espérance, variance ...) (6,8,13)",,,,,
,,"Principales distributions de probabilités (6,13)",,,,,
,,"Notions d'échantillon, de population et d'inférence statistique (6,8,15)",,,,,
,,"Risque client et risque fournisseur (6,13,15)",,,,,
,,"Estimation ponctuelle (6,8)",,,,,
,,"Intervalles de confiance (6,8)",,,,,
,,"Test statistique unilatéral / bilatéral (6,8)",,,,,
,,"Tests d'estimation (6,8)",,,,,
,,"Tests de comparaison (6,8)",,,,,
,,"Tests d'adéquation (6,8)",,,,,
,,"Tests d'indépendance (6,8)",,,,,
