UE : GI-3-HU EPS -S2,,,,,,,
EC : GI-3-RED-S2,Initiation à la recherche documentaire,,,,,,
ECTS,2,,,,,,
Nbre H,18,,,,,,
,,,,,,,Niveau de la compétence
,,,,,,,
,,,,,,,
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 5,Traiter des données,,,,,M
,Compétence 6,"Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité""",,,,,3
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,3
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,3
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,M
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,M
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,1
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,M
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,3
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,3
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,M
,Compétence 31,Agir de manière responsable dans un monde complexe ,,,,,2
,Compétence 33,Travailler dans un contexte international et interculturel,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Rechercher de l'information scientifique et technique,,Sources et type d'information scientifique et technique (),,,,,
"Qualifier l'information, produire une note de synthèse",,Structuration des documents de synthèse (),,,,,
"Collaborer à distance
",,Règles de citation (),,,,,
,,Critères d'évaluation de l'information(),,,,,
