UE : GI-4-INFO-S1,,,,,,,
EC : GI-4-SID-S1,Systèmes d'informations distribués,,,,,,
ECTS,3,,,,,,
Nbre H,34,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Concevoir et développer une application distribuée permettant le stockage, l'accès à distance et la visualisation de données associées à la réalisation de processus (5,7) ",,Architecture d'applications basée sur les services Web,,,,,
" Analyser les performances des processus à partir des traces générées par le système d'information (6,8) en utilisant des outils de fouille de processus",,Modèle-Vue-Controleur,,,,,
" réaliser un travail en équipe (19, 21, 28).",,Protocole HTTP,,,,,
,,Serveur d'application,,,,,
,,Service Web REST,,,,,
,,Format d'échange de données,,,,,
