UE : GI-4-STI-S2,,,,,,,
EC : GI-4-STI-S2,Stage industriel,,,,,,
ECTS,15,,,,,,
Nbre H,0,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,M
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,M
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,M
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,C
,Compétence 12,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production",,,,,M
,Compétence 13,Élaborer et mettre en œuvre une stratégie d’achats ,,,,,M
,Compétence 14,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,M
,Compétence 15,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",,,,,M
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,C
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,M
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,M
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,C
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,M
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,M
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,C
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,M
,Compétence 27,"Se connaître, se gérer physiquement et mentalement ",,,,,C
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,C
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,C
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,M
,Compétence 31,Agir de manière responsable dans un monde complexe ,,,,,C
,Compétence 32,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,C
,Compétence 33,Travailler dans un contexte international et interculturel,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Oberver et analyser la stratégie d'une entité,,Retour d'expérience,,,,,
Communiquer à l'oral et à l'écrit,,Fonctionnement sociotechnique des organisations.,,,,,
Analyser une situation,,,,,,,
