UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-ACH-S1,Achats ,,,,,,
ECTS,1,,,,,,
Nbre H,16,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 4,Concevoir un système répondant à un cahier des charges,,,,,1
,Compétence 6,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,,,,,2
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,M
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,M
,Compétence 13,Élaborer et mettre en œuvre une stratégie d’achats ,,,,,3
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,2
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,M
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,2
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,3
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,2
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,2
,Compétence 27,"Se connaître, se gérer physiquement et mentalement ",,,,,M
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,M
,Compétence 32,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,32
,Compétence 33,Travailler dans un contexte international et interculturel,,,,,33
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Modéliser le processus de réalisation d’une activité (1,8,13)",,Le positionnement des achats dans l'entreprise : du cahier des charges à l'amélioration continue des fournisseurs,,,,,
Assurer une qualité de reporting par la mise en place d’indicateurs pertinents (21) ,,Le processus achat théorique complet.,,,,,
"Valoriser, protéger et pérenniser le savoir-faire des entités (24) ",,"La définition du besoin, le «make or buy»,de l'appel d'offre à la Notation pondérée et choix de la «meilleure» proposition",,,,,
Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies (18) ,,"La négociation, la contractualisation, l'audit, la Mise en place d'une notation fournisseur et d'un plan d'amélioration continue des achats intra et extra entreprises",,,,,
"Observer, mesurer, analyser et interpréter une activité ",,"Les outils simples et pragmatiques : le SST Sourcing Scoring Tools / la MBA Moins bonne offre admissible / la décomposition des coûts 
Notions : de contrat / Incoterms / utilisation des prestations de service",,,,,
"Définir et appliquer un plan d’actions (20,23,32) ",,,,,,,
Conduire collectivement un projet (20) ,,,,,,,
"Identifier, formaliser et contractualiser les besoins d’un client (23)",,,,,,,
" Suivre leur évolution et valider leur respect (traçabilité des besoins) (8,16,21).",,,,,,,
